Link,Địa chỉ,Giá tổng,Giá/m²,Giấy tờ pháp lý,Loại hình đất,Chiều ngang,Chiều dài,Diện tích đất,Hướng cửa chính
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120018741.htm,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội","3,85 tỷ","68,75 triệu/m²",Đã có sổ,Đất thổ cư,,,56 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120702797.htm,"Liên Ninh, Xã Liên Ninh, Huyện Thanh Trì, Hà Nội","5,5 tỷ","105,77 triệu/m²",Đã có sổ,Đất thổ cư,4 m,,52 m²,
https://www.nhatot.com/mua-ban-dat-quan-ba-dinh-ha-noi/120290068.htm,"Đường N7, N9","6,2 tỷ","17,71 triệu/m²",Đã có sổ,Đất thổ cư,,,350 m²,
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/120702678.htm,"Tổ 11, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","4,8 tỷ","123,08 triệu/m²",Đã có sổ,Đất thổ cư,,,39 m²,Tây Nam
https://www.nhatot.com/mua-ban-dat-huyen-dan-phuong-ha-noi/120702496.htm,"Thôn Trung Thành , Xã Thượng Mỗ, Huyện Đan Phượng, Hà Nội","2,2 tỷ","53,66 triệu/m²",Đã có sổ,Đất thổ cư,,,41 m²,
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120671648.htm#px=SR-stickyad-[PO-1][PL-top],"Phù Linh, Xã Phù Linh, Huyện Sóc Sơn, Hà Nội","1,28 tỷ","20,98 triệu/m²",Đã có sổ,Đất thổ cư,6 m,10 m,61 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120093115.htm#px=SR-stickyad-[PO-2][PL-top],"Vành Đai 4 Hà Nội, Xã Ninh Sở, Huyện Thường Tín, Hà Nội","8,15 tỷ","83,16 triệu/m²",Đã có sổ,Đất thổ cư,5 m,20 m,98 m²,Nam
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120579857.htm#px=SR-special_display_ad-[PO-3][PL-default],"Hữu Hoà, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội","4,75 tỷ",95 triệu/m²,Đã có sổ,Đất thổ cư,4 m,12.5 m,50 m²,
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120701817.htm,"Vĩnh Thượng, Xã Khai Thái, Huyện Phú Xuyên, Hà Nội",810 triệu,"17,96 triệu/m²",Đã có sổ,Đất thổ cư,4.5 m,10 m,45.1 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120680772.htm,"227, Đường Đông Mỹ, Xã Đông Mỹ, Huyện Thanh Trì, Hà Nội","16,2 tỷ",180 triệu/m²,Đã có sổ,Đất thổ cư,,,90 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120701699.htm,"Liên Thông, Xã Tự Nhiên, Huyện Thường Tín, Hà Nội","1,25 tỷ","29,07 triệu/m²",Đã có sổ,Đất thổ cư,4.3 m,10 m,43 m²,
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/120701547.htm,"Đường Cổ Bản - Nhân Sơn, Phường Đồng Mai, Quận Hà Đông, Hà Nội","3,85 tỷ",77 triệu/m²,Đã có sổ,Đất thổ cư,4.8 m,10.5 m,50 m²,Đông Nam
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120701371.htm,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội","14,5 tỷ",145 triệu/m²,Đã có sổ,Đất thổ cư,53 m,,100 m²,Đông Nam
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120701324.htm,"Đông mỹ, Xã Đông Mỹ, Huyện Thanh Trì, Hà Nội","6,5 tỷ","59,09 triệu/m²",Đã có sổ,Đất thổ cư,5 m,,110 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120579645.htm#px=SR-special_display_ad-[PO-10][PL-default],"Lương Quy, Xã Xuân Nộn, Huyện Đông Anh, Hà Nội","2,9 tỷ","54,72 triệu/m²",Đã có sổ,Đất thổ cư,4 m,13 m,53 m²,
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/120701060.htm,"Đường Cổ Bi, Xã Cổ Bi, Huyện Gia Lâm, Hà Nội","4,4 tỷ","63,77 triệu/m²",Đã có sổ,Đất thổ cư,,,69 m²,
https://www.nhatot.com/mua-ban-dat-huyen-my-duc-ha-noi/120231271.htm,"65, ĐƯỜNG LIÊN XÃ, Xã An Phú, Huyện Mỹ Đức, Hà Nội",750 triệu,"7,50 triệu/m²",Đã có sổ,Đất thổ cư,6 m,,100 m²,
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/108982527.htm,", Đường trục phía Nam, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",16 tỷ,80 triệu/m²,3,Đất nền dự án,10 m,,200 m²,
https://www.nhatot.com/mua-ban-dat-huyen-phuc-tho-ha-noi/120700647.htm,"32, Thị trấn Phúc Thọ, Huyện Phúc Thọ, Hà Nội",990 triệu,"22,25 triệu/m²",Đã có sổ,Đất thổ cư,,,44.5 m²,
https://www.nhatot.com/mua-ban-dat-quan-cau-giay-ha-noi/120700546.htm,"Đường Nguyễn Văn Huyên, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",24 tỷ,"328,77 triệu/m²",Đã có sổ,Đất thổ cư,4.4 m,16 m,73 m²,
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/119926033.htm,"Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội","15,75 tỷ",175 triệu/m²,Đã có sổ,Đất thổ cư,6 m,15 m,90 m²,Tây Nam
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/120319526.htm,"Đường Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","22,9 tỷ","272,62 triệu/m²",Đã có sổ,Đất thổ cư,5 m,18 m,84 m²,
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120671648.htm#px=SR-special_display_ad-[PO-18][PL-default],"Phù Linh, Xã Phù Linh, Huyện Sóc Sơn, Hà Nội","1,28 tỷ","20,98 triệu/m²",Đã có sổ,Đất thổ cư,6 m,10 m,61 m²,
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120499251.htm,"Hẻm 541/16/45 Đường Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",12 tỷ,120 triệu/m²,Đã có sổ,Đất thổ cư,5.95 m,18 m,100 m²,Nam
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/118903587.htm,"đường 15B, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",8 tỷ,40 triệu/m²,Đang chờ sổ,Đất thổ cư,10 m,20 m,200 m²,Nam
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120699826.htm,"78, Xuân Kì, Xã Đông Xuân, Huyện Sóc Sơn, Hà Nội","1,5 tỷ",25 triệu/m²,Đã có sổ,Đất thổ cư,4.43 m,13.9 m,60 m²,Đông
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/120699702.htm,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","6,75 tỷ","192,86 triệu/m²",Đã có sổ,Đất thổ cư,,,35 m²,
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/120699632.htm,"Phố Châu Đài, Phường Thượng Cát, Quận Bắc Từ Liêm, Hà Nội","4,7 tỷ","83,93 triệu/m²",Đã có sổ,Đất thổ cư,,,56 m²,
https://www.nhatot.com/mua-ban-dat-huyen-me-linh-ha-noi/119713774.htm,"Mê Linh, Thị trấn Quang Minh, Huyện Mê Linh, Hà Nội",2 tỷ,"48,66 triệu/m²",Đã có sổ,Đất thổ cư,,,41.1 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120545500.htm#px=SR-special_display_ad-[PO-3][PL-default],"Tuyến 3 Ngọc Chi Vinh Ngọc Đông Anh, Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội","6,2 tỷ","112,73 triệu/m²",Đã có sổ,Đất thổ cư,7 m,8 m,55 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120699340.htm,"Chương Lộc, Xã Chương Dương, Huyện Thường Tín, Hà Nội","1,49 tỷ","19,87 triệu/m²",Đã có sổ,Đất thổ cư,4.5 m,17 m,75 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120699314.htm,"Thư Dương, Xã Thư Phú, Huyện Thường Tín, Hà Nội","2,835 tỷ",27 triệu/m²,Đã có sổ,Đất thổ cư,8 m,13 m,105 m²,
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120549390.htm#px=SR-special_display_ad-[PO-6][PL-default],"Phố Phú Viên, Phường Bồ Đề, Quận Long Biên, Hà Nội","11,5 tỷ",115 triệu/m²,Đã có sổ,Đất thổ cư,5 m,20 m,100 m²,
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120699247.htm,"Vĩnh Thượng, Xã Khai Thái, Huyện Phú Xuyên, Hà Nội",810 triệu,"17,96 triệu/m²",Đã có sổ,Đất thổ cư,4.5 m,11 m,45.1 m²,
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120588111.htm,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội","3,9 tỷ","69,64 triệu/m²",Đã có sổ,Đất thổ cư,4 m,14 m,56 m²,Đông Bắc
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120699075.htm,"Vĩnh Thượng, Xã Khai Thái, Huyện Phú Xuyên, Hà Nội",810 triệu,18 triệu/m²,Đã có sổ,Đất thổ cư,5 m,9 m,45 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120628298.htm,"Xóm Đầm, Xã Vân Nội, Huyện Đông Anh, Hà Nội","4,896 tỷ",68 triệu/m²,Đã có sổ,Đất thổ cư,,,72 m²,
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120698765.htm,"Chúng Chản, Xã Vân Từ, Huyện Phú Xuyên, Hà Nội","1,955 tỷ","10,51 triệu/m²",Đã có sổ,Đất thổ cư,8 m,24 m,186 m²,
https://www.nhatot.com/mua-ban-dat-quan-hai-ba-trung-ha-noi/120601665.htm,"số 9 ngách 40 ngõ thống nhất, Phố Đại La, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội","14,5 tỷ","96,67 triệu/m²",Đã có sổ,Đất thổ cư,7.2 m,,150 m²,
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/120698211.htm,"Phố Sa Đôi, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",10 tỷ,"103,09 triệu/m²",Đã có sổ,Đất thổ cư,3 m,32.5 m,97 m²,Đông Bắc
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/120698129.htm,"68, Phố Cửu Việt, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội","4,95 tỷ","123,75 triệu/m²",Đã có sổ,Đất thổ cư,5 m,8 m,40 m²,Nam
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/120698064.htm,"80/8/13, Phố Châu Đài, Phường Thượng Cát, Quận Bắc Từ Liêm, Hà Nội","4,7 tỷ","85,45 triệu/m²",Đã có sổ,Đất thổ cư,,,55 m²,Đông Nam
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120698037.htm,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","2,7 tỷ","55,10 triệu/m²",Đã có sổ,Đất thổ cư,,,49 m²,
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/120697904.htm,"Đường Bát Khối, Xã Đông Dư, Huyện Gia Lâm, Hà Nội",8 tỷ,"66,67 triệu/m²",Đã có sổ,Đất thổ cư,4.1 m,30 m,120 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/118528896.htm#px=SR-special_display_ad-[PO-18][PL-default],"Đường Quốc lộ 21, Xã Bình Yên, Huyện Thạch Thất, Hà Nội","1,5 tỷ",15 triệu/m²,Đã có sổ,Đất thổ cư,,,100 m²,
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120052054.htm,"Phố Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội","6,8 tỷ","72,34 triệu/m²",Đã có sổ,Đất thổ cư,,,94 m²,
https://www.nhatot.com/mua-ban-dat-quan-tay-ho-ha-noi/118968422.htm,"Phố Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội","13,5 tỷ","245,45 triệu/m²",Đã có sổ,Đất thổ cư,5 m,11 m,55 m²,Tây Nam
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120299812.htm,"Lâm Tiên, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",3 tỷ,50 triệu/m²,Đã có sổ,Đất thổ cư,8 m,7.5 m,60 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120697007.htm,"Thôn Nhuế, Xã Kim Chung, Huyện Đông Anh, Hà Nội","19,38 tỷ",85 triệu/m²,Đã có sổ,Đất thổ cư,10.8 m,,228 m²,
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120696910.htm,"Bạch Hạ, Xã Bạch Hạ, Huyện Phú Xuyên, Hà Nội",720 triệu,18 triệu/m²,Đã có sổ,Đất thổ cư,4 m,10 m,40 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120696857.htm,"Vân Trì, Xã Vân Nội, Huyện Đông Anh, Hà Nội","5,3 tỷ","46,09 triệu/m²",Đã có sổ,Đất thổ cư,8.9 m,13 m,115 m²,
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120696796.htm,"Bạch Hạ, Xã Bạch Hạ, Huyện Phú Xuyên, Hà Nội",760 triệu,"15,83 triệu/m²",Đã có sổ,Đất thổ cư,4 m,12 m,48 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120305100.htm,"Thôn Đoài, Xã Nam Hồng, Huyện Đông Anh, Hà Nội","5,2 tỷ","60,82 triệu/m²",Đã có sổ,Đất thổ cư,4.5 m,18 m,85.5 m²,
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120696715.htm,"Duyên Yết, Xã Hồng Thái, Huyện Phú Xuyên, Hà Nội","1,35 tỷ","18,49 triệu/m²",Đã có sổ,Đất thổ cư,5 m,15 m,73 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/120596610.htm#px=SR-special_display_ad-[PO-8][PL-default],"Đồng Kho, Xã Đồng Trúc, Huyện Thạch Thất, Hà Nội","2,15 tỷ","26,54 triệu/m²",Đã có sổ,Đất thổ cư,,,81 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/120696619.htm#px=SR-special_display_ad-[PO-9][PL-default],"Đường huyện 10, Xã Tân Xã, Huyện Thạch Thất, Hà Nội","2,55 tỷ","39,23 triệu/m²",Đã có sổ,Đất thổ cư,5 m,13 m,65 m²,Đông Nam
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120696598.htm,"Đường 35, Xã Hiền Ninh, Huyện Sóc Sơn, Hà Nội","2,88 tỷ",16 triệu/m²,Đã có sổ,Đất thổ cư,,,180 m²,
https://www.nhatot.com/mua-ban-dat-huyen-chuong-my-ha-noi/120421901.htm,"Trục Chính Liên Thôn , Xã Nam Phương Tiến, Huyện Chương Mỹ, Hà Nội","3,85 tỷ","7,45 triệu/m²",Đã có sổ,Đất thổ cư,,,517 m²,
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120428111.htm,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội","13,95 tỷ","127,98 triệu/m²",Đã có sổ,Đất thổ cư,41 m,,109 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120695460.htm,"Tiên Hội, Xã Đông Hội, Huyện Đông Anh, Hà Nội",80 tỷ,"220,39 triệu/m²",Đã có sổ,Đất thổ cư,21 m,20 m,363 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120695306.htm,"Quốc Lộ 3, Xã Mai Lâm, Huyện Đông Anh, Hà Nội","3,7 tỷ","62,50 triệu/m²",Đã có sổ,Đất thổ cư,7 m,8 m,59.2 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120695245.htm,"Thái Bình, Xã Mai Lâm, Huyện Đông Anh, Hà Nội","2,95 tỷ","65,56 triệu/m²",Đã có sổ,Đất thổ cư,3.8 m,11 m,45 m²,
https://www.nhatot.com/mua-ban-dat-huyen-my-duc-ha-noi/120307853.htm,"Tỉnh Lộ 419, Xã An Phú, Huyện Mỹ Đức, Hà Nội",960 triệu,"6,76 triệu/m²",Đã có sổ,Đất thổ cư,6.18 m,22 m,142 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120695168.htm,"Võ Nguyên Giáp, Xã Vân Nội, Huyện Đông Anh, Hà Nội","3,25 tỷ","67,71 triệu/m²",Đã có sổ,Đất thổ cư,4 m,12 m,48 m²,
https://www.nhatot.com/mua-ban-dat-huyen-chuong-my-ha-noi/120695073.htm,"Liên Thôn , Xã Nam Phương Tiến, Huyện Chương Mỹ, Hà Nội","1,9 tỷ","7,04 triệu/m²",Đã có sổ,Đất thổ cư,11 m,25 m,270 m²,Đông Nam
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120571114.htm#px=SR-special_display_ad-[PO-19][PL-default],"Đường Xuân Khôi (Ngõ Độc Lâp), Phường Cự Khối, Quận Long Biên, Hà Nội","2,9 tỷ",50 triệu/m²,Đã có sổ,Đất thổ cư,5.8 m,10 m,58 m²,
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120648714.htm,"Phố Xuân Đỗ, Phường Cự Khối, Quận Long Biên, Hà Nội","5,95 tỷ","132,22 triệu/m²",Đã có sổ,Đất thổ cư,,,45 m²,
https://www.nhatot.com/mua-ban-dat-quan-hoang-mai-ha-noi/120648438.htm,"Phố Hoàng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",6 tỷ,"118,11 triệu/m²",Đã có sổ,Đất thổ cư,4 m,12 m,50.8 m²,Đông Bắc
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120622888.htm,"phố Bắc Cầu, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","1,65 tỷ","46,22 triệu/m²",Đã có sổ,Đất thổ cư,4.2 m,8.5 m,35.7 m²,Đông Nam
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120569507.htm,"Vạn Phúc - Đông Mỹ, Xã Vạn Phúc, Huyện Thanh Trì, Hà Nội","2,3 tỷ","2,30 triệu/m²",Đã có sổ,Đất thổ cư,7.7 m,,1000 m²,
https://www.nhatot.com/mua-ban-dat-huyen-chuong-my-ha-noi/120693293.htm,"Đường Thông, Xã Nam Phương Tiến, Huyện Chương Mỹ, Hà Nội","1,995 tỷ","7,39 triệu/m²",Đã có sổ,Đất thổ cư,11.2 m,24.5 m,270 m²,Đông Nam
https://www.nhatot.com/mua-ban-dat-quan-cau-giay-ha-noi/120692719.htm,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","5,45 tỷ","165,15 triệu/m²",Đã có sổ,Đất thổ cư,,,33 m²,
https://www.nhatot.com/mua-ban-dat-huyen-chuong-my-ha-noi/120567603.htm,"6, xuân mai, Thị trấn Xuân Mai, Huyện Chương Mỹ, Hà Nội","3,3 tỷ","34,38 triệu/m²",Đã có sổ,Đất thổ cư,5.5 m,18 m,96 m²,Tây Nam
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120558783.htm,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội","3,45 tỷ",115 triệu/m²,Đã có sổ,Đất thổ cư,3.5 m,8.6 m,30 m²,Đông Bắc
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120381708.htm,"Đường Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội","11,5 tỷ",115 triệu/m²,Đã có sổ,Đất thổ cư,5.6 m,17 m,100 m²,Đông Nam
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120691373.htm,"Thôn 3, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội","4,1 tỷ","56,94 triệu/m²",Đã có sổ,Đất thổ cư,6 m,12 m,72 m²,Bắc
https://www.nhatot.com/mua-ban-dat-huyen-quoc-oai-ha-noi/120690702.htm,"Đường liên xã, Xã Tân Phú, Huyện Quốc Oai, Hà Nội","1,75 tỷ","44,87 triệu/m²",Đã có sổ,Đất thổ cư,4 m,10 m,39 m²,Nam
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120690687.htm,"35, Xã Minh Phú, Huyện Sóc Sơn, Hà Nội","9,999 tỷ",33 triệu/m²,Đã có sổ,Đất thổ cư,,,303 m²,
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/120690655.htm,"Đường Phú Minh, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội","5,5 tỷ","98,21 triệu/m²",Đã có sổ,Đất thổ cư,,,56 m²,
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120690386.htm,"thanh sơn, Xã Minh Phú, Huyện Sóc Sơn, Hà Nội","3,75 tỷ","33,48 triệu/m²",Đã có sổ,Đất thổ cư,,,112 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120690355.htm,"Liên xã, Xã Dũng Tiến, Huyện Thường Tín, Hà Nội",1 tỷ,25 triệu/m²,Đã có sổ,Đất thổ cư,,,40 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120690135.htm,"Trường Sa, Xã Xuân Canh, Huyện Đông Anh, Hà Nội","3,4 tỷ",68 triệu/m²,Đã có sổ,Đất thổ cư,,,50 m²,
