Link,Địa chỉ,Giá tổng,Giá/m²,Số phòng ngủ,Số phòng vệ sinh,Giấy tờ pháp lý,Loại hình căn hộ,Diện tích,Hướng cửa chính,Hướng ban công,Tình trạng nội thất
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120700955.htm#px=SR-special_display_ad-[PO-16][PL-default],"Phố Nguyễn Chánh, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","4,15 tỷ","64,84 triệu/m²",2 phòng,2 phòng,Sổ hồng riêng,Chung cư,64 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/118472120.htm,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội","2,24 tỷ","47,66 triệu/m²",1 phòng,1 phòng,Sổ hồng riêng,Chung cư,47 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/117096887.htm,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội","2,5 tỷ","41,67 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,Chung cư,60 m²,,,Hoàn thiện cơ bản
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120679022.htm#px=SR-special_display_ad-[PO-19][PL-default],"Đường Nguyễn Tuân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","4,93 tỷ","54,78 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,Chung cư,90 m²,,,Hoàn thiện cơ bản
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/120700656.htm,"Lô N10, Giang Biên, Phường Giang Biên, Quận Long Biên, Hà Nội","3,528 tỷ","45,83 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,Chung cư,77 m²,Đông,Tây,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/120700510.htm,"Phố Vạn Hạnh, Phường Giang Biên, Quận Long Biên, Hà Nội","3,111 tỷ","41,65 triệu/m²",2 phòng,2 phòng,Sổ hồng riêng,Chung cư,74.7 m²,Đông,Tây,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/120678237.htm#px=SR-special_display_ad-[PO-22][PL-default],"131, Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội","6,2 tỷ",40 triệu/m²,3 phòng,2 phòng,Sổ hồng riêng,Chung cư,155 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120700277.htm#px=SR-special_display_ad-[PO-23][PL-default],"sô 10C , Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội","2,95 tỷ","47,97 triệu/m²",2 phòng,1 phòng,Hợp đồng mua bán,Chung cư,61.5 m²,Tây Bắc,Tây Nam,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120654576.htm,"Phố Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội","8,6 tỷ",215 triệu/m²,8 phòng,Nhiều hơn 6 phòng,Sổ hồng riêng,"Căn hộ dịch vụ, mini",40 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120551779.htm#px=SR-stickyad-[PO-1][PL-top],"Phố Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội","1,65 tỷ",33 triệu/m²,2 phòng,1 phòng,Sổ hồng riêng,Chung cư,50 m²,,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/120369041.htm#px=SR-stickyad-[PO-2][PL-top],"Phố Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội","3,28 tỷ","50,46 triệu/m²",2 phòng,,Sổ hồng riêng,"Tập thể, cư xá",65 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120542779.htm#px=SR-stickyad-[PO-3][PL-top],"Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","1,86 tỷ","33,82 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,"Căn hộ dịch vụ, mini",55 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120671736.htm#px=SR-stickyad-[PO-4][PL-top],"Đường Nguyễn Quý Đức, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội","2,86 tỷ","42,06 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,"Tập thể, cư xá",68 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120700063.htm,", Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","3,99 tỷ","62,34 triệu/m²",2 phòng,2 phòng,Sổ hồng riêng,Chung cư,64 m²,Tây Bắc,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/120699980.htm#px=SR-special_display_ad-[PO-6][PL-default],"Tố Hữu, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","3,08 tỷ","42,78 triệu/m²",2 phòng,2 phòng,Sổ hồng riêng,Chung cư,72 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/120699946.htm#px=SR-special_display_ad-[PO-7][PL-default],"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","3,08 tỷ","42,78 triệu/m²",2 phòng,2 phòng,Sổ hồng riêng,Chung cư,72 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120699882.htm,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","3,39 tỷ","62,78 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,Chung cư,54 m²,Đông Nam,Tây Bắc,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120699861.htm,"Phố Trần Hữu Dực, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","5,95 tỷ","63,98 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,Chung cư,93 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/120699808.htm#px=SR-special_display_ad-[PO-10][PL-default],"Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội",4 tỷ,"53,33 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,Chung cư,75 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120699790.htm,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","5,76 triệu",164.571 đ/m²,2 phòng,2 phòng,Sổ hồng riêng,Chung cư,35 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120678351.htm#px=SR-special_display_ad-[PO-12][PL-default],"Đường Khuất Duy Tiến, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội","3,3 tỷ","36,67 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,"Tập thể, cư xá",90 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/116644638.htm,"trần thái tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","1,06 tỷ","25,24 triệu/m²",1 phòng,,Hợp đồng mua bán,"Căn hộ dịch vụ, mini",42 m²,,Đông Nam,Hoàn thiện cơ bản
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120677639.htm,"Đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội","3,6 tỷ","55,38 triệu/m²",2 phòng,,Sổ hồng riêng,Chung cư,65 m²,Tây,Đông,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120287288.htm,"Đường Đền Lừ 2, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","3,86 tỷ","54,37 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,Chung cư,71 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120277603.htm,"Phố Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","15,5 tỷ","238,46 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Sổ hồng riêng,"Căn hộ dịch vụ, mini",65 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120224088.htm,"Phố Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","17,6 tỷ","209,52 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Sổ hồng riêng,"Căn hộ dịch vụ, mini",84 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/119092441.htm,"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","6,95 tỷ","95,21 triệu/m²",2 phòng,,Sổ hồng riêng,Chung cư,73 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120698658.htm,"Ngõ 51 Lương Khánh Thiện, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","3,9 tỷ","55,71 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,"Tập thể, cư xá",70 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120698586.htm,"Phố Quan Hoa, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",3 tỷ,"88,24 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,"Tập thể, cư xá",34 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120698573.htm,"Phố Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội","2,55 tỷ","91,07 triệu/m²",1 phòng,1 phòng,Sổ hồng riêng,"Tập thể, cư xá",28 m²,,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120698565.htm,"Phố Hồ Văn Chương, Phường Văn Chương, Quận Đống Đa, Hà Nội","2,35 tỷ","117,50 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,"Tập thể, cư xá",20 m²,,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120698434.htm#px=SR-special_display_ad-[PO-23][PL-default],"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","4,16 tỷ",65 triệu/m²,2 phòng,2 phòng,Sổ hồng riêng,Chung cư,64 m²,Tây Bắc,Đông Bắc,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120698369.htm,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","2,3 tỷ","71,88 triệu/m²",1 phòng,1 phòng,Sổ hồng riêng,Chung cư,32 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120698273.htm,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","2,199 tỷ","70,97 triệu/m²",1 phòng,1 phòng,Sổ hồng riêng,Chung cư,31 m²,Tây Nam,Đông Bắc,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120548218.htm#px=SR-special_display_ad-[PO-2][PL-default],"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","3,85 tỷ",70 triệu/m²,2 phòng,1 phòng,Sổ hồng riêng,Chung cư,55 m²,,Tây Nam,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120698002.htm#px=SR-special_display_ad-[PO-3][PL-default],"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","4,89 tỷ","65,20 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,Chung cư,75 m²,Đông Bắc,Đông Bắc,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120697947.htm#px=SR-special_display_ad-[PO-4][PL-default],", Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","2,03 tỷ","78,08 triệu/m²",1 phòng,1 phòng,Hợp đồng mua bán,Chung cư,26 m²,Tây Bắc,Tây Bắc,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/119882411.htm,"Nguyễn Văn Huyên, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội","13,5 tỷ","129,81 triệu/m²",3 phòng,3 phòng,Đang chờ sổ,Chung cư,104 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120697807.htm,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","3,55 tỷ","64,55 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,Chung cư,55 m²,Đông Nam,Tây Bắc,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120697804.htm,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội","3,83 tỷ","53,19 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,Chung cư,72 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120697680.htm#px=SR-special_display_ad-[PO-8][PL-default],"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","3,52 tỷ","65,19 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,Chung cư,54 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/120651930.htm,"Xã Việt Hưng, Xã Gia Thụy và Thị trấn Sài Đồng, Quận Long Biên, Hà Nội., Phường Sài Đồng, Quận Long Biên, Hà Nội","2,8 tỷ",40 triệu/m²,2 phòng,2 phòng,Sổ hồng riêng,Chung cư,70 m²,Tây Bắc,Đông Nam,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120247028.htm,"Chính Kinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội",20 tỷ,160 triệu/m²,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Sổ hồng riêng,"Căn hộ dịch vụ, mini",125 m²,,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120697444.htm,"Đường Lô 1 Đền Lừ 1, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","3,5 tỷ","38,89 triệu/m²",3 phòng,,Sổ hồng riêng,Chung cư,90 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120697364.htm,"Ngõ 51 Lương Khánh Thiện, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","3,9 tỷ","52,70 triệu/m²",2 phòng,2 phòng,Sổ hồng riêng,"Tập thể, cư xá",74 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120651553.htm,"tôn thất tùng, Phường Khương Thượng, Quận Đống Đa, Hà Nội","1,19 tỷ","28,33 triệu/m²",1 phòng,1 phòng,Hợp đồng mua bán,"Tập thể, cư xá",42 m²,,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120626089.htm,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","5,215 tỷ","62,08 triệu/m²",3 phòng,,Sổ hồng riêng,Chung cư,84 m²,,Đông Nam,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120521208.htm,"Hoàng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội","2,9 tỷ","38,16 triệu/m²",3 phòng,2 phòng,Hợp đồng mua bán,Chung cư,76 m²,Tây,Đông Nam,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120079567.htm,"Phố Nam Sơn, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội","4,81 tỷ","57,95 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,Chung cư,83 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/118473361.htm,"Đường Bằng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",3 tỷ,"42,86 triệu/m²",2 phòng,,Hợp đồng mua bán,Chung cư,70 m²,Tây Bắc,Đông Nam,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120696546.htm,"Phố Thượng Đình, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội","4,1 tỷ",41 triệu/m²,2 phòng,1 phòng,Sổ hồng riêng,"Tập thể, cư xá",100 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120650749.htm,"Phố Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","6,8 tỷ","54,84 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,Chung cư,124 m²,,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120696461.htm#px=SR-special_display_ad-[PO-20][PL-default],"Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","2,55 tỷ","141,67 triệu/m²",2 phòng,,Sổ hồng riêng,"Tập thể, cư xá",18 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120579513.htm,"Phố Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội","2,45 tỷ",49 triệu/m²,2 phòng,,Sổ hồng riêng,"Tập thể, cư xá",50 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120696270.htm#px=SR-special_display_ad-[PO-2][PL-default],"Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","19,68 tỷ","228,84 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Sổ hồng riêng,"Căn hộ dịch vụ, mini",86 m²,,Tây Bắc,Nội thất cao cấp
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/120675839.htm#px=SR-special_display_ad-[PO-3][PL-default],"57, Láng Hạ, Phường Thành Công, Quận Ba Đình, Hà Nội",16 tỷ,"82,90 triệu/m²",3 phòng,,Sổ hồng riêng,Chung cư,193 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120572475.htm#px=SR-special_display_ad-[PO-4][PL-default],"Phố Mai Động, Phường Mai Động, Quận Hoàng Mai, Hà Nội","1,38 tỷ",46 triệu/m²,1 phòng,1 phòng,Hợp đồng mua bán,"Tập thể, cư xá",30 m²,Nam,Nam,Hoàn thiện cơ bản
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120344411.htm,"Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","3,75 tỷ","54,83 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,Chung cư,68.39 m²,Đông Nam,Tây Bắc,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120695902.htm,"Đường Nguyễn Tuân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","4,93 tỷ","54,78 triệu/m²",2 phòng,1 phòng,Sổ hồng riêng,Chung cư,90 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120695678.htm#px=SR-special_display_ad-[PO-7][PL-default],"Phố Trần Đăng Ninh, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","3,95 tỷ","60,77 triệu/m²",2 phòng,2 phòng,Sổ hồng riêng,Chung cư,65 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120556454.htm#px=SR-special_display_ad-[PO-8][PL-default],", Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","4,7 tỷ","44,76 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,Chung cư,105 m²,Tây Bắc,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120694986.htm,"Đường Nhân Mỹ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","4,76 tỷ","52,31 triệu/m²",2 phòng,2 phòng,Sổ hồng riêng,Chung cư,91 m²,,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120673634.htm,"Nguyễn Khái, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội","3,9 tỷ","43,33 triệu/m²",3 phòng,2 phòng,Sổ hồng riêng,"Tập thể, cư xá",90 m²,,,
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/120694831.htm,"Phố Kim Mã Thượng, Phường Cống Vị, Quận Ba Đình, Hà Nội","5,1 tỷ",85 triệu/m²,1 phòng,1 phòng,Sổ hồng riêng,"Tập thể, cư xá",60 m²,,,
