Link,Địa chỉ,Giá tổng,Giá/m²,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Giấy tờ pháp lý,Loại hình nhà ở,Chiều ngang,Chiều dài,Diện tích sử dụng,Diện tích đất,Hướng cửa chính,Tình trạng nội thất
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120457736.htm,"Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội","3,95 tỷ","123,44 triệu/m²",3 phòng,3 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",5 m,6 m,32 m²,32 m²,,Hoàn thiện cơ bản
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120691218.htm,"Đường Nguyễn Khang, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","19,5 tỷ","304,69 triệu/m²",5 phòng,4 phòng,5,Đã có sổ,Nhà phố liền kề,4 m,,64 m²,64 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120691042.htm,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",7 tỷ,"152,17 triệu/m²",5 phòng,6 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",,,,46 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/120691037.htm#px=SR-special_display_ad-[PO-21][PL-default],"Đường Ngọc Hồi, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội","6,5 tỷ","180,56 triệu/m²",4 phòng,3 phòng,4,Đã có sổ,"Nhà mặt phố, mặt tiền",3.9 m,9.2 m,,36 m²,,Hoàn thiện cơ bản
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120623876.htm,"Phố Liễu Giai, Phường Cống Vị, Quận Ba Đình, Hà Nội","1,86 tỷ",155 triệu/m²,1 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,12 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120606377.htm#px=SR-stickyad-[PO-1][PL-top],"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","11,9 tỷ","157,41 triệu/m²",3 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,75.6 m²,,
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/120643047.htm#px=SR-stickyad-[PO-2][PL-top],"3, Song phương, Xã Tiền Yên, Huyện Hoài Đức, Hà Nội","3,7 tỷ","92,50 triệu/m²",4 phòng,4 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",4.64 m,9.54 m,160 m²,40 m²,,Hoàn thiện cơ bản
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/119873827.htm#px=SR-stickyad-[PO-3][PL-top],"Phố Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","2,92 tỷ",73 triệu/m²,4 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,40 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120507454.htm#px=SR-stickyad-[PO-4][PL-top],"Phố Nguyễn Công Trứ, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội","1,55 tỷ","96,88 triệu/m²",2 phòng,2 phòng,2,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",3.4 m,5 m,,16 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120674773.htm#px=SR-stickyad-[PO-5][PL-top],"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","6,95 tỷ","187,84 triệu/m²",3 phòng,3 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",,,,37 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/120691037.htm#px=SR-special_display_ad-[PO-6][PL-default],"Đường Ngọc Hồi, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội","6,5 tỷ","180,56 triệu/m²",4 phòng,3 phòng,4,Đã có sổ,"Nhà mặt phố, mặt tiền",3.9 m,9.2 m,,36 m²,,Hoàn thiện cơ bản
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120623876.htm,"Phố Liễu Giai, Phường Cống Vị, Quận Ba Đình, Hà Nội","1,86 tỷ",155 triệu/m²,1 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,12 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120691008.htm,"Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội","7,1 tỷ","177,50 triệu/m²",3 phòng,4 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",,,40 m²,40 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120690981.htm,"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","5,2 tỷ","148,57 triệu/m²",3 phòng,3 phòng,3,Đã có sổ,"Nhà ngõ, hẻm",4.7 m,,,35 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120690918.htm#px=SR-special_display_ad-[PO-10][PL-default],"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","5,2 tỷ","148,57 triệu/m²",3 phòng,3 phòng,3,Đã có sổ,"Nhà ngõ, hẻm",,,40 m²,35 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120690883.htm#px=SR-special_display_ad-[PO-11][PL-default],"Ngõ 3 Vạn Phúc, Phường Liễu Giai, Quận Ba Đình, Hà Nội","18,9 tỷ","290,77 triệu/m²",4 phòng,4 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",10 m,,260 m²,65 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/120690830.htm,"Phố Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","5,7 tỷ","158,33 triệu/m²",5 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,36 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120690828.htm#px=SR-special_display_ad-[PO-13][PL-default],"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","5,2 tỷ","115,56 triệu/m²",3 phòng,3 phòng,3,Đã có sổ,"Nhà ngõ, hẻm",,,45 m²,45 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120653270.htm,"Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội","4,3 tỷ","116,22 triệu/m²",3 phòng,4 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",,,32 m²,37 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120690709.htm,"Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",6 tỷ,"171,43 triệu/m²",3 phòng,3 phòng,5,Đã có sổ,"Nhà mặt phố, mặt tiền",3 m,10.6 m,35 m²,35 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120690688.htm,"Trần Cung, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","6,45 tỷ","165,38 triệu/m²",3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,39 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120305544.htm,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","6,6 tỷ","173,68 triệu/m²",3 phòng,3 phòng,3,Đã có sổ,"Nhà ngõ, hẻm",,,,38 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120668590.htm,"Phố Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội","12,2 tỷ","221,82 triệu/m²",4 phòng,3 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",5 m,11 m,150 m²,55 m²,Đông Nam,Hoàn thiện cơ bản
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120690430.htm,"Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội","6,7 tỷ","167,50 triệu/m²",3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,40 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120690333.htm,"Phố An Trạch, Phường Cát Linh, Quận Đống Đa, Hà Nội","6,6 tỷ",220 triệu/m²,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,35 m²,30 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120690326.htm,"Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội","4,95 tỷ",198 triệu/m²,3 phòng,3 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",3.3 m,,125 m²,25 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120690314.htm,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","5,75 tỷ","212,96 triệu/m²",2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,27 m²,27 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120690294.htm,"Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội","6,4 tỷ",200 triệu/m²,3 phòng,2 phòng,3,Đã có sổ,"Nhà ngõ, hẻm",3.6 m,,,32 m²,,
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/120690290.htm#px=SR-special_display_ad-[PO-24][PL-default],"Đường La Phù, Xã La Phù, Huyện Hoài Đức, Hà Nội","3,8 tỷ","102,70 triệu/m²",3 phòng,3 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",4 m,925 m,148 m²,37 m²,Đông Nam,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120618089.htm,"Phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","8,9 tỷ","222,50 triệu/m²",5 phòng,5 phòng,6,Đã có sổ,"Nhà ngõ, hẻm",,,,40 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/120690290.htm#px=SR-special_display_ad-[PO-1][PL-default],"Đường La Phù, Xã La Phù, Huyện Hoài Đức, Hà Nội","3,8 tỷ","102,70 triệu/m²",3 phòng,3 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",4 m,925 m,148 m²,37 m²,Đông Nam,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120618089.htm,"Phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","8,9 tỷ","222,50 triệu/m²",5 phòng,5 phòng,6,Đã có sổ,"Nhà ngõ, hẻm",,,,40 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120088846.htm,"Đường La Thành, Phường Giảng Võ, Quận Ba Đình, Hà Nội",16 tỷ,"205,13 triệu/m²",3 phòng,4 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",,,,78 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/120690188.htm#px=SR-special_display_ad-[PO-4][PL-default],"La Phù, Xã La Phù, Huyện Hoài Đức, Hà Nội","3,8 tỷ","108,57 triệu/m²",3 phòng,4 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",5 m,7 m,175 m²,35 m²,Đông Nam,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/120690166.htm,"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","6,35 tỷ","192,42 triệu/m²",3 phòng,3 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",,,,33 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120690152.htm,"Phú Mỹ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","13,2 tỷ","249,06 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,Đã có sổ,"Nhà ngõ, hẻm",6 m,,56 m²,53 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120451485.htm#px=SR-special_display_ad-[PO-7][PL-default],"Phố Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","3,97 tỷ","132,33 triệu/m²",2 phòng,2 phòng,2,Đã có sổ,"Nhà ngõ, hẻm",4.9 m,,,30 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/117959292.htm,"Đường Nguyễn Trãi, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","8,5 tỷ","151,79 triệu/m²",4 phòng,5 phòng,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,,56 m²,56 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120643513.htm,"173/68/39, Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội","10,5 tỷ","166,40 triệu/m²",2 phòng,2 phòng,,Đã có sổ,"Nhà ngõ, hẻm",6.7 m,11.2 m,63.1 m²,63.1 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120653198.htm,"Phố Nguyễn Thanh Bình, Phường La Khê, Quận Hà Đông, Hà Nội","12,8 tỷ",256 triệu/m²,3 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",4.2 m,,55 m²,50 m²,Tây Nam,
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120690076.htm#px=SR-special_display_ad-[PO-11][PL-default],"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","6,4 tỷ","152,38 triệu/m²",4 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,,,42 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/120690058.htm,"Phố Thįnh Liệt, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",14 tỷ,200 triệu/m²,5 phòng,5 phòng,,Đã có sổ,Nhà biệt thự,5 m,,,70 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/119959640.htm,"Yên Lạc, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","27,3 tỷ","341,25 triệu/m²",6 phòng,5 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,80 m²,80 m²,Đông Nam,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120624011.htm,"Nguyễn Khánh Toàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","8,8 tỷ","195,56 triệu/m²",4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,45 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/120689994.htm,"Đường Khương Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội","6,95 tỷ","217,19 triệu/m²",4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,32 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120689967.htm,"Đường Ngô Quyền, Phường Quang Trung, Quận Hà Đông, Hà Nội","10,5 tỷ","238,64 triệu/m²",4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,44 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/120689945.htm,"Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",9 tỷ,200 triệu/m²,4 phòng,5 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",,,,45 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/120667940.htm#px=SR-special_display_ad-[PO-18][PL-default],"Phố Yên Duyên, Phường Yên Sở, Quận Hoàng Mai, Hà Nội","7,8 tỷ","141,82 triệu/m²",4 phòng,4 phòng,4,Đã có sổ,"Nhà mặt phố, mặt tiền",5 m,,55 m²,55 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120436676.htm,"Ngõ lệnh cư, Phường Khâm Thiên, Quận Đống Đa, Hà Nội","3,6 tỷ",180 triệu/m²,2 phòng,3 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",,,,20 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120324968.htm,"Phố Cát Linh, Phường Cát Linh, Quận Đống Đa, Hà Nội","6,8 tỷ","234,48 triệu/m²",3 phòng,4 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",,,,29 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/117384519.htm#px=SR-special_display_ad-[PO-1][PL-default],"Kim Hoa, Phường Phương Liên, Quận Đống Đa, Hà Nội","1,8 tỷ",150 triệu/m²,3 phòng,3 phòng,5,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,,,12 m²,Đông Bắc,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120208669.htm,"Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội","7,78 tỷ","155,60 triệu/m²",5 phòng,4 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",,,,50 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120437391.htm,"Ngõ 14 Ngô Quyền, Phường Quang Trung, Quận Hà Đông, Hà Nội","11,5 tỷ","225,49 triệu/m²",3 phòng,3 phòng,3,Đã có sổ,Nhà phố liền kề,6.4 m,,51 m²,51 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120296707.htm,"Phố Cát Linh, Phường Cát Linh, Quận Đống Đa, Hà Nội","4,95 tỷ","260,53 triệu/m²",2 phòng,3 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",,,30 m²,19 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/117601414.htm,"Phố Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","4,5 tỷ","115,38 triệu/m²",3 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,39 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120689858.htm,"31, Phố Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội","26,8 tỷ",268 triệu/m²,nhiều hơn 10 phòng,6 phòng,7,Đã có sổ,"Nhà ngõ, hẻm",8 m,,850 m²,100 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120689853.htm,"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","5,2 tỷ","148,57 triệu/m²",3 phòng,2 phòng,,Đã có sổ,"Nhà ngõ, hẻm",4.7 m,,40 m²,35 m²,,
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/119547489.htm,"Cầu Bươu, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội",4 tỷ,"111,11 triệu/m²",4 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,36 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120012851.htm,"Phố Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội","7,9 tỷ",158 triệu/m²,6 phòng,4 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",4.2 m,,50 m²,50 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120312321.htm,"Phố Dương Khuê, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","25,5 tỷ","411,29 triệu/m²",5 phòng,5 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",5 m,,72 m²,62 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/119380079.htm,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","13,2 tỷ","253,85 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,6,Đã có sổ,"Nhà ngõ, hẻm",6 m,,58 m²,52 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/120689803.htm,"Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội","13,8 tỷ","212,31 triệu/m²",6 phòng,6 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",4.8 m,13.5 m,65 m²,65 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120565681.htm#px=SR-special_display_ad-[PO-13][PL-default],"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội","7,1 tỷ","112,70 triệu/m²",4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,63 m²,,
