Link,Giá tổng,Giá/m²,Giấy tờ pháp lý,Loại hình đất,Chiều ngang,Chiều dài,Diện tích đất,Hướng cửa chính,Xã/Phường,Quận/Huyện
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/120704061.htm,2.45,42.24,Đã có sổ,Đất thổ cư,,,58.0,,Kim Sơn,Gia Lâm
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120607627.htm#px=SR-special_display_ad-[PO-14][PL-default],17.45,151.74,Đã có sổ,Đất thổ cư,4.3,26.0,115.0,,Đức Giang,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120703713.htm,0.77,17.11,Đã có sổ,Đất thổ cư,5.0,9.0,45.0,,Khai Thái,Phú Xuyên
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/120607276.htm#px=SR-special_display_ad-[PO-16][PL-default],29.8,113.74,Đang chờ sổ,Đất nền dự án,15.0,17.0,262.0,,Kiến Hưng,Hà Đông
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/119779566.htm#px=SR-special_display_ad-[PO-17][PL-default],16.5,226.03,Đã có sổ,Đất thổ cư,,,73.0,,Kiến Hưng,Hà Đông
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120018741.htm,3.85,68.75,Đã có sổ,Đất thổ cư,,,56.0,,Phúc Lợi,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120702797.htm,5.5,105.77,Đã có sổ,Đất thổ cư,4.0,,52.0,,Liên Ninh,Thanh Trì
https://www.nhatot.com/mua-ban-dat-quan-ba-dinh-ha-noi/120290068.htm,6.2,17.71,Đã có sổ,Đất thổ cư,,,350.0,,Trống,Trống
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/120702678.htm,4.8,123.08,Đã có sổ,Đất thổ cư,,,39.0,Tây Nam,Yên Nghĩa,Hà Đông
https://www.nhatot.com/mua-ban-dat-huyen-dan-phuong-ha-noi/120702496.htm,2.2,53.66,Đã có sổ,Đất thổ cư,,,41.0,,Thượng Mỗ,Đan Phượng
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120671648.htm#px=SR-stickyad-[PO-1][PL-top],1.28,20.98,Đã có sổ,Đất thổ cư,6.0,10.0,61.0,,Phù Linh,Sóc Sơn
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120093115.htm#px=SR-stickyad-[PO-2][PL-top],8.15,83.16,Đã có sổ,Đất thổ cư,5.0,20.0,98.0,Nam,Ninh Sở,Thường Tín
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120579857.htm#px=SR-special_display_ad-[PO-3][PL-default],4.75,95.0,Đã có sổ,Đất thổ cư,4.0,12.5,50.0,,Hữu Hoà,Thanh Trì
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120701817.htm,0.81,17.96,Đã có sổ,Đất thổ cư,4.5,10.0,45.1,,Khai Thái,Phú Xuyên
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120680772.htm,16.2,180.0,Đã có sổ,Đất thổ cư,,,90.0,,Đông Mỹ,Thanh Trì
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120701699.htm,1.25,29.07,Đã có sổ,Đất thổ cư,4.3,10.0,43.0,,Tự Nhiên,Thường Tín
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/120701547.htm,3.85,77.0,Đã có sổ,Đất thổ cư,4.8,10.5,50.0,Đông Nam,Đồng Mai,Hà Đông
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120701371.htm,14.5,145.0,Đã có sổ,Đất thổ cư,53.0,,100.0,Đông Nam,Long Biên,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120701324.htm,6.5,59.09,Đã có sổ,Đất thổ cư,5.0,,110.0,,Đông Mỹ,Thanh Trì
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120579645.htm#px=SR-special_display_ad-[PO-10][PL-default],2.9,54.72,Đã có sổ,Đất thổ cư,4.0,13.0,53.0,,Xuân Nộn,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/120701060.htm,4.4,63.77,Đã có sổ,Đất thổ cư,,,69.0,,Cổ Bi,Gia Lâm
https://www.nhatot.com/mua-ban-dat-huyen-my-duc-ha-noi/120231271.htm,0.75,7.5,Đã có sổ,Đất thổ cư,6.0,,100.0,,An Phú,Mỹ Đức
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/108982527.htm,16.0,80.0,Đã có sổ,Đất nền dự án,10.0,,200.0,,Kiến Hưng,Hà Đông
https://www.nhatot.com/mua-ban-dat-huyen-phuc-tho-ha-noi/120700647.htm,0.99,22.25,Đã có sổ,Đất thổ cư,,,44.5,,Phúc Thọ,Phúc Thọ
https://www.nhatot.com/mua-ban-dat-quan-cau-giay-ha-noi/120700546.htm,24.0,328.77,Đã có sổ,Đất thổ cư,4.4,16.0,73.0,,Nghĩa Đô,Cầu Giấy
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/119926033.htm,15.75,175.0,Đã có sổ,Đất thổ cư,6.0,15.0,90.0,Tây Nam,Phúc Lợi,Long Biên
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/120319526.htm,22.9,272.62,Đã có sổ,Đất thổ cư,5.0,18.0,84.0,,Mỹ Đình 1,Nam Từ Liêm
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120671648.htm#px=SR-special_display_ad-[PO-18][PL-default],1.28,20.98,Đã có sổ,Đất thổ cư,6.0,10.0,61.0,,Phù Linh,Sóc Sơn
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120499251.htm,12.0,120.0,Đã có sổ,Đất thổ cư,5.95,18.0,100.0,Nam,Thạch Bàn,Long Biên
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/118903587.htm,8.0,40.0,Đang chờ sổ,Đất thổ cư,10.0,20.0,200.0,Nam,Mễ Trì,Nam Từ Liêm
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120699826.htm,1.5,25.0,Đã có sổ,Đất thổ cư,4.43,13.9,60.0,Đông,Đông Xuân,Sóc Sơn
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/120699702.htm,6.75,192.86,Đã có sổ,Đất thổ cư,,,35.0,,Mỹ Đình 2,Nam Từ Liêm
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/120699632.htm,4.7,83.93,Đã có sổ,Đất thổ cư,,,56.0,,Thượng Cát,Bắc Từ Liêm
https://www.nhatot.com/mua-ban-dat-huyen-me-linh-ha-noi/119713774.htm,2.0,48.66,Đã có sổ,Đất thổ cư,,,41.1,,Quang Minh,Mê Linh
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120545500.htm#px=SR-special_display_ad-[PO-3][PL-default],6.2,112.73,Đã có sổ,Đất thổ cư,7.0,8.0,55.0,,Vĩnh Ngọc,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120699340.htm,1.49,19.87,Đã có sổ,Đất thổ cư,4.5,17.0,75.0,,Chương Dương,Thường Tín
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120699314.htm,2.835,27.0,Đã có sổ,Đất thổ cư,8.0,13.0,105.0,,Thư Phú,Thường Tín
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120549390.htm#px=SR-special_display_ad-[PO-6][PL-default],11.5,115.0,Đã có sổ,Đất thổ cư,5.0,20.0,100.0,,Bồ Đề,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120699247.htm,0.81,17.96,Đã có sổ,Đất thổ cư,4.5,11.0,45.1,,Khai Thái,Phú Xuyên
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120588111.htm,3.9,69.64,Đã có sổ,Đất thổ cư,4.0,14.0,56.0,Đông Bắc,Phúc Lợi,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120699075.htm,0.81,18.0,Đã có sổ,Đất thổ cư,5.0,9.0,45.0,,Khai Thái,Phú Xuyên
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120628298.htm,4.896,68.0,Đã có sổ,Đất thổ cư,,,72.0,,Vân Nội,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120698765.htm,1.955,10.51,Đã có sổ,Đất thổ cư,8.0,24.0,186.0,,Vân Từ,Phú Xuyên
https://www.nhatot.com/mua-ban-dat-quan-hai-ba-trung-ha-noi/120601665.htm,14.5,96.67,Đã có sổ,Đất thổ cư,7.2,,150.0,,Đồng Tâm,Hai Bà Trưng
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/120698211.htm,10.0,103.09,Đã có sổ,Đất thổ cư,3.0,32.5,97.0,Đông Bắc,Đại Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/120698129.htm,4.95,123.75,Đã có sổ,Đất thổ cư,5.0,8.0,40.0,Nam,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/120698064.htm,4.7,85.45,Đã có sổ,Đất thổ cư,,,55.0,Đông Nam,Thượng Cát,Bắc Từ Liêm
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120698037.htm,2.7,55.1,Đã có sổ,Đất thổ cư,,,49.0,,Ngọc Thụy,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/120697904.htm,8.0,66.67,Đã có sổ,Đất thổ cư,4.1,30.0,120.0,,Đông Dư,Gia Lâm
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/118528896.htm#px=SR-special_display_ad-[PO-18][PL-default],1.5,15.0,Đã có sổ,Đất thổ cư,,,100.0,,Bình Yên,Thạch Thất
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120052054.htm,6.8,72.34,Đã có sổ,Đất thổ cư,,,94.0,,Thượng Thanh,Long Biên
https://www.nhatot.com/mua-ban-dat-quan-tay-ho-ha-noi/118968422.htm,13.5,245.45,Đã có sổ,Đất thổ cư,5.0,11.0,55.0,Tây Nam,Bưởi,Tây Hồ
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120299812.htm,3.0,50.0,Đã có sổ,Đất thổ cư,8.0,7.5,60.0,,Đông Anh,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120697007.htm,19.38,85.0,Đã có sổ,Đất thổ cư,10.8,,228.0,,Kim Chung,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120696910.htm,0.72,18.0,Đã có sổ,Đất thổ cư,4.0,10.0,40.0,,Bạch Hạ,Phú Xuyên
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120696857.htm,5.3,46.09,Đã có sổ,Đất thổ cư,8.9,13.0,115.0,,Vân Nội,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120696796.htm,0.76,15.83,Đã có sổ,Đất thổ cư,4.0,12.0,48.0,,Bạch Hạ,Phú Xuyên
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120305100.htm,5.2,60.82,Đã có sổ,Đất thổ cư,4.5,18.0,85.5,,Nam Hồng,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120696715.htm,1.35,18.49,Đã có sổ,Đất thổ cư,5.0,15.0,73.0,,Hồng Thái,Phú Xuyên
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/120596610.htm#px=SR-special_display_ad-[PO-8][PL-default],2.15,26.54,Đã có sổ,Đất thổ cư,,,81.0,,Đồng Trúc,Thạch Thất
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/120696619.htm#px=SR-special_display_ad-[PO-9][PL-default],2.55,39.23,Đã có sổ,Đất thổ cư,5.0,13.0,65.0,Đông Nam,Tân Xã,Thạch Thất
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120696598.htm,2.88,16.0,Đã có sổ,Đất thổ cư,,,180.0,,Hiền Ninh,Sóc Sơn
https://www.nhatot.com/mua-ban-dat-huyen-chuong-my-ha-noi/120421901.htm,3.85,7.45,Đã có sổ,Đất thổ cư,,,517.0,,Nam Phương Tiến,Chương Mỹ
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120428111.htm,13.95,127.98,Đã có sổ,Đất thổ cư,41.0,,109.0,,Long Biên,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120695460.htm,80.0,220.39,Đã có sổ,Đất thổ cư,21.0,20.0,363.0,,Đông Hội,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120695306.htm,3.7,62.5,Đã có sổ,Đất thổ cư,7.0,8.0,59.2,,Mai Lâm,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120695245.htm,2.95,65.56,Đã có sổ,Đất thổ cư,3.8,11.0,45.0,,Mai Lâm,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-my-duc-ha-noi/120307853.htm,0.96,6.76,Đã có sổ,Đất thổ cư,6.18,22.0,142.0,,An Phú,Mỹ Đức
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120695168.htm,3.25,67.71,Đã có sổ,Đất thổ cư,4.0,12.0,48.0,,Vân Nội,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-chuong-my-ha-noi/120695073.htm,1.9,7.04,Đã có sổ,Đất thổ cư,11.0,25.0,270.0,Đông Nam,Nam Phương Tiến,Chương Mỹ
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120571114.htm#px=SR-special_display_ad-[PO-19][PL-default],2.9,50.0,Đã có sổ,Đất thổ cư,5.8,10.0,58.0,,Cự Khối,Long Biên
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120648714.htm,5.95,132.22,Đã có sổ,Đất thổ cư,,,45.0,,Cự Khối,Long Biên
https://www.nhatot.com/mua-ban-dat-quan-hoang-mai-ha-noi/120648438.htm,6.0,118.11,Đã có sổ,Đất thổ cư,4.0,12.0,50.8,Đông Bắc,Hoàng Liệt,Hoàng Mai
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120622888.htm,1.65,46.22,Đã có sổ,Đất thổ cư,4.2,8.5,35.7,Đông Nam,Ngọc Thụy,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120569507.htm,2.3,2.3,Đã có sổ,Đất thổ cư,7.7,,1000.0,,Vạn Phúc,Thanh Trì
https://www.nhatot.com/mua-ban-dat-huyen-chuong-my-ha-noi/120693293.htm,1.995,7.39,Đã có sổ,Đất thổ cư,11.2,24.5,270.0,Đông Nam,Nam Phương Tiến,Chương Mỹ
https://www.nhatot.com/mua-ban-dat-quan-cau-giay-ha-noi/120692719.htm,5.45,165.15,Đã có sổ,Đất thổ cư,,,33.0,,Mai Dịch,Cầu Giấy
https://www.nhatot.com/mua-ban-dat-huyen-chuong-my-ha-noi/120567603.htm,3.3,34.38,Đã có sổ,Đất thổ cư,5.5,18.0,96.0,Tây Nam,Xuân Mai,Chương Mỹ
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120558783.htm,3.45,115.0,Đã có sổ,Đất thổ cư,3.5,8.6,30.0,Đông Bắc,Phúc Lợi,Long Biên
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120381708.htm,11.5,115.0,Đã có sổ,Đất thổ cư,5.6,17.0,100.0,Đông Nam,Thạch Bàn,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120691373.htm,4.1,56.94,Đã có sổ,Đất thổ cư,6.0,12.0,72.0,Bắc,Tứ Hiệp,Thanh Trì
https://www.nhatot.com/mua-ban-dat-huyen-quoc-oai-ha-noi/120690702.htm,1.75,44.87,Đã có sổ,Đất thổ cư,4.0,10.0,39.0,Nam,Tân Phú,Quốc Oai
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120690687.htm,9.999,33.0,Đã có sổ,Đất thổ cư,,,303.0,,Minh Phú,Sóc Sơn
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/120690655.htm,5.5,98.21,Đã có sổ,Đất thổ cư,,,56.0,,Minh Khai,Bắc Từ Liêm
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120690386.htm,3.75,33.48,Đã có sổ,Đất thổ cư,,,112.0,,Minh Phú,Sóc Sơn
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120690355.htm,1.0,25.0,Đã có sổ,Đất thổ cư,,,40.0,,Dũng Tiến,Thường Tín
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120690135.htm,3.4,68.0,Đã có sổ,Đất thổ cư,,,50.0,,Xuân Canh,Đông Anh
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/120690033.htm,13.6,272.0,Đã có sổ,Đất thổ cư,4.3,11.7,50.0,,Yên Nghĩa,Hà Đông
https://www.nhatot.com/mua-ban-dat-thi-xa-son-tay-ha-noi/120689932.htm,1.05,28.38,Đã có sổ,Đất thổ cư,5.5,6.9,37.0,Đông,Ngô Quyền,Sơn Tây
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/120689931.htm,2.2,24.77,Đã có sổ,Đất thổ cư,355.0,20.0,88.8,Đông,Đại Đồng,Thạch Thất
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/120537965.htm#px=SR-special_display_ad-[PO-19][PL-default],5.0,100.0,Đã có sổ,Đất thổ cư,4.0,12.5,50.0,,Đông Dư,Gia Lâm
https://www.nhatot.com/mua-ban-dat-huyen-hoai-duc-ha-noi/120643139.htm#px=SR-special_display_ad-[PO-20][PL-default],7.7,71.96,Đã có sổ,Đất thổ cư,5.0,21.4,107.0,,Vân Côn,Hoài Đức
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/120689714.htm,8.5,137.1,Đã có sổ,Đất thổ cư,,,62.0,Đông Nam,Cổ Nhuế 2,Bắc Từ Liêm
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/116234025.htm,5.95,99.17,Đã có sổ,Đất thổ cư,,,60.0,,Nhị Khê,Xã Nhị Khê
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120307378.htm,2.8,65.12,Đã có sổ,Đất thổ cư,,,43.0,,Đại áng,Thanh Trì
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120307553.htm,2.9,72.5,Đã có sổ,Đất thổ cư,,,40.0,,Xã Đại áng,Thanh Trì
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/118451950.htm,2.1,48.84,Đã có sổ,Đất thổ cư,,,43.0,,Nhị Khê,Thường Tín
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/118512673.htm,5.49,45.0,Đã có sổ,Đất thổ cư,,,122.0,,Khánh Hà,Thường Tín
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/120689610.htm,6.3,126.0,Đã có sổ,Đất thổ cư,,,50.0,,Cổ Nhuế 2,Bắc Từ Liêm
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120689603.htm,2.3,42.59,Đã có sổ,Đất thổ cư,,,54.0,,Khánh Hà,Thường Tín
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/120364980.htm,19.3,288.06,Đã có sổ,Đất thổ cư,6.0,11.0,67.0,,Mễ Trì,Nam Từ Liêm
https://www.nhatot.com/mua-ban-dat-huyen-thanh-tri-ha-noi/120689197.htm,1.2,12.0,Không có sổ,Đất nông nghiệp,,,100.0,,Tả Thanh Oai,Thanh Trì
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120641135.htm#px=SR-special_display_ad-[PO-11][PL-default],6.95,55.6,Đã có sổ,Đất thổ cư,6.0,21.0,125.0,,Bắc Hồng,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/120666186.htm,3.83,93.41,Đã có sổ,Đất thổ cư,,,41.0,,Đông Dư,Gia Lâm
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120582652.htm,9.3,244.74,Đã có sổ,Đất thổ cư,3.5,10.9,38.0,Đông Bắc,Phúc Đồng,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-thanh-oai-ha-noi/120688394.htm,2.29,53.26,Đã có sổ,Đất thổ cư,,,43.0,,Bình Minh,Thanh Oai
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/120688379.htm#px=SR-special_display_ad-[PO-15][PL-default],4.8,133.33,Đã có sổ,Đất thổ cư,,,36.0,,Kiến Hưng,Hà Đông
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120195769.htm#px=SR-special_display_ad-[PO-16][PL-default],1.99,24.88,Đã có sổ,Đất thổ cư,4.5,19.0,80.0,,Minh Phú,Sóc Sơn
https://www.nhatot.com/mua-ban-dat-huyen-thanh-oai-ha-noi/120688242.htm,2.15,53.75,Đã có sổ,Đất thổ cư,,,40.0,,Tam Hưng,Thanh Oai
https://www.nhatot.com/mua-ban-dat-quan-bac-tu-liem-ha-noi/120303852.htm,12.9,169.74,Đã có sổ,Đất thổ cư,4.5,14.0,76.0,Đông,Phúc Diễn,Bắc Từ Liêm
https://www.nhatot.com/mua-ban-dat-quan-hoang-mai-ha-noi/120665213.htm#px=SR-special_display_ad-[PO-19][PL-default],29.0,181.25,Đã có sổ,Đất thổ cư,9.0,,160.0,,Yên Sở,Hoàng Mai
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/120668179.htm#px=SR-special_display_ad-[PO-20][PL-default],10.5,181.03,Đã có sổ,Đất thổ cư,3.3,,58.0,,Đại Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-dat-huyen-me-linh-ha-noi/120687645.htm#px=SR-special_display_ad-[PO-1][PL-default],8.8,44.0,Đã có sổ,Đất thổ cư,,,200.0,,Kim Hoa,Mê Linh
https://www.nhatot.com/mua-ban-dat-huyen-quoc-oai-ha-noi/120348794.htm#px=SR-special_display_ad-[PO-2][PL-default],2.5,10.0,Đã có sổ,Đất thổ cư,,,250.0,Tây Bắc,Đông Yên,Quốc Oai
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120686670.htm,3.6,92.31,Đã có sổ,Đất thổ cư,3.9,10.0,39.0,Đông Bắc,Phúc Lợi,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120382478.htm#px=SR-special_display_ad-[PO-4][PL-default],5.28,58.51,Đã có sổ,Đất thổ cư,5.12,18.55,90.24,Tây,Vân Tảo,Thường Tín
https://www.nhatot.com/mua-ban-dat-huyen-chuong-my-ha-noi/120086737.htm,3.75,5.91,Đã có sổ,Đất thổ cư,,,634.0,Đông Nam,,Chương Mỹ
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120685746.htm,5.8,103.57,Đã có sổ,Đất thổ cư,6.0,9.4,56.0,Đông Bắc,Thạch Bàn,Long Biên
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/120684611.htm,3.5,94.59,Đã có sổ,Đất thổ cư,3.5,10.0,37.0,,Đồng Mai,Hà Đông
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120585001.htm#px=SR-special_display_ad-[PO-8][PL-default],0.9,11.25,Đã có sổ,Đất thổ cư,5.0,16.0,80.0,Đông,Bồ Đề,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-quoc-oai-ha-noi/120530761.htm#px=SR-special_display_ad-[PO-9][PL-default],4.3,35.89,Đã có sổ,Đất thổ cư,,,119.8,Đông Bắc,Phú Cát,Quốc Oai
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120683992.htm,2.8,14.0,Đã có sổ,Đất thổ cư,6.0,34.0,200.0,Tây Bắc,Kim Chung,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120683274.htm,3.25,68.42,Đã có sổ,Đất thổ cư,4.0,12.0,47.5,Đông,Vân Nội,Đông Anh
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/120683237.htm,8.1,57.86,Đã có sổ,Đất thổ cư,6.0,23.0,140.0,,Bình Yên,Thạch Thất
