Link,Giá tổng,Giá/m²,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Giấy tờ pháp lý,Loại hình nhà ở,Chiều ngang,Chiều dài,Diện tích đất,Hướng cửa chính,Tình trạng nội thất,Xã/Phường,Quận/Huyện
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/119276261.htm#px=SR-special_display_ad-[PO-14][PL-default],3.6,98.9,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",4.0,9.0,36.4,Tây Bắc,Nội thất đầy đủ,Trống,Trống
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/120691323.htm#px=SR-special_display_ad-[PO-15][PL-default],7.7,208.11,5,4,5,Đã có sổ,"Nhà ngõ, hẻm",3.4,11.0,37.0,,Nội thất đầy đủ,Nhân Chính,Thanh Xuân
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120691306.htm,120.0,800.0,7,6,7,Đã có sổ,"Nhà mặt phố, mặt tiền",12.0,,150.0,,Nội thất cao cấp,Đàn,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120691254.htm,32.0,336.84,4,4,4,Đã có sổ,Nhà biệt thự,8.0,,95.0,,Nội thất cao cấp,Nghĩa Tân,Cầu Giấy
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120457736.htm,3.95,123.44,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",5.0,6.0,32.0,,Hoàn thiện cơ bản,Phương Canh,Nam Từ Liêm
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120691218.htm,19.5,304.69,5,4,5,Đã có sổ,Nhà phố liền kề,4.0,,64.0,,Nội thất cao cấp,Yên Hoà,Cầu Giấy
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120691042.htm,7.0,152.17,5,6,4,Đã có sổ,"Nhà ngõ, hẻm",,,46.0,,Nội thất cao cấp,Mỹ Đình 1,Nam Từ Liêm
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/120691037.htm#px=SR-special_display_ad-[PO-21][PL-default],6.5,180.56,4,3,4,Đã có sổ,"Nhà mặt phố, mặt tiền",3.9,9.2,36.0,,Hoàn thiện cơ bản,Văn Điển,Thanh Trì
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120623876.htm,1.86,155.0,1,1,2,Đã có sổ,"Nhà ngõ, hẻm",,,12.0,,Nội thất đầy đủ,Cống Vị,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120606377.htm#px=SR-stickyad-[PO-1][PL-top],11.9,157.41,3,3,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,,75.6,,Nội thất đầy đủ,Ngọc Thụy,Long Biên
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/120643047.htm#px=SR-stickyad-[PO-2][PL-top],3.7,92.5,4,4,4,Đã có sổ,"Nhà ngõ, hẻm",4.64,9.54,40.0,,Hoàn thiện cơ bản,Tiền Yên,Hoài Đức
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/119873827.htm#px=SR-stickyad-[PO-3][PL-top],2.92,73.0,4,4,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,,40.0,,Hoàn thiện cơ bản,Yên Nghĩa,Hà Đông
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120507454.htm#px=SR-stickyad-[PO-4][PL-top],1.55,96.88,2,2,2,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",3.4,5.0,16.0,,Nội thất đầy đủ,Phố Huế,Hai Bà Trưng
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120674773.htm#px=SR-stickyad-[PO-5][PL-top],6.95,187.84,3,3,5,Đã có sổ,"Nhà ngõ, hẻm",,,37.0,,Nội thất đầy đủ,Mỹ Đình 2,Nam Từ Liêm
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/120691037.htm#px=SR-special_display_ad-[PO-6][PL-default],6.5,180.56,4,3,4,Đã có sổ,"Nhà mặt phố, mặt tiền",3.9,9.2,36.0,,Hoàn thiện cơ bản,Văn Điển,Thanh Trì
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120691008.htm,7.1,177.5,3,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,40.0,,Nội thất đầy đủ,Bồ Đề,Long Biên
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120690981.htm,5.2,148.57,3,3,3,Đã có sổ,"Nhà ngõ, hẻm",4.7,,35.0,,Nội thất cao cấp,Trương Định,Hai Bà Trưng
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120690918.htm#px=SR-special_display_ad-[PO-10][PL-default],5.2,148.57,3,3,3,Đã có sổ,"Nhà ngõ, hẻm",,,35.0,,Nội thất cao cấp,Trương Định,Hai Bà Trưng
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120690883.htm#px=SR-special_display_ad-[PO-11][PL-default],18.9,290.77,4,4,4,Đã có sổ,"Nhà ngõ, hẻm",10.0,,65.0,,Nội thất cao cấp,Liễu Giai,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/120690830.htm,5.7,158.33,5,5,6,Đã có sổ,"Nhà ngõ, hẻm",,,36.0,,Nội thất đầy đủ,Khương Đình,Thanh Xuân
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120690828.htm#px=SR-special_display_ad-[PO-13][PL-default],5.2,115.56,3,3,3,Đã có sổ,"Nhà ngõ, hẻm",,,45.0,,Nội thất đầy đủ,Trương Định,Hai Bà Trưng
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120653270.htm,4.3,116.22,3,4,4,Đã có sổ,"Nhà ngõ, hẻm",,,37.0,,Nội thất đầy đủ,Cự Khối,Long Biên
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120690709.htm,6.0,171.43,3,3,5,Đã có sổ,"Nhà mặt phố, mặt tiền",3.0,10.6,35.0,,Nội thất đầy đủ,Phú Đô,Nam Từ Liêm
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120690688.htm,6.45,165.38,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,39.0,,Nội thất đầy đủ,Nghĩa Đô,Cầu Giấy
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120305544.htm,6.6,173.68,3,3,3,Đã có sổ,"Nhà ngõ, hẻm",,,38.0,,Nội thất đầy đủ,Mỹ Đình 1,Nam Từ Liêm
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120668590.htm,12.2,221.82,4,3,4,Đã có sổ,"Nhà ngõ, hẻm",5.0,11.0,55.0,Đông Nam,Hoàn thiện cơ bản,Sài Đồng,Long Biên
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120690430.htm,6.7,167.5,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,40.0,,Nội thất đầy đủ,Liễu Giai,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120690333.htm,6.6,220.0,4,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,30.0,,Nội thất cao cấp,Cát Linh,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120690326.htm,4.95,198.0,3,3,5,Đã có sổ,"Nhà ngõ, hẻm",3.3,,25.0,,Nội thất đầy đủ,Đồng Tâm,Hai Bà Trưng
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120690314.htm,5.75,212.96,2,2,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,,27.0,,Nội thất cao cấp,Mỹ Đình 1,Nam Từ Liêm
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120690294.htm,6.4,200.0,3,2,3,Đã có sổ,"Nhà ngõ, hẻm",3.6,,32.0,,Nội thất đầy đủ,Đống Mác,Hai Bà Trưng
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/120690290.htm#px=SR-special_display_ad-[PO-24][PL-default],3.8,102.7,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",4.0,925.0,37.0,Đông Nam,Nội thất đầy đủ,La Phù,Hoài Đức
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120618089.htm,8.9,222.5,5,5,6,Đã có sổ,"Nhà ngõ, hẻm",,,40.0,,Nội thất đầy đủ,Đội Cấn,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/120690290.htm#px=SR-special_display_ad-[PO-1][PL-default],3.8,102.7,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",4.0,925.0,37.0,Đông Nam,Nội thất đầy đủ,La Phù,Hoài Đức
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120088846.htm,16.0,205.13,3,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,78.0,,Nội thất đầy đủ,Giảng Võ,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/120690188.htm#px=SR-special_display_ad-[PO-4][PL-default],3.8,108.57,3,4,5,Đã có sổ,"Nhà ngõ, hẻm",5.0,7.0,35.0,Đông Nam,Nội thất đầy đủ,La Phù,Hoài Đức
https://www.nhatot.com/mua-ban-nha-dat-quan-bac-tu-liem-ha-noi/120690166.htm,6.35,192.42,3,3,5,Đã có sổ,"Nhà ngõ, hẻm",,,33.0,,Nội thất đầy đủ,Cổ Nhuế 1,Bắc Từ Liêm
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/120690152.htm,13.2,249.06,10,6,11,Đã có sổ,"Nhà ngõ, hẻm",6.0,,53.0,,Nội thất cao cấp,Mỹ Đình 1,Nam Từ Liêm
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120451485.htm#px=SR-special_display_ad-[PO-7][PL-default],3.97,132.33,2,2,2,Đã có sổ,"Nhà ngõ, hẻm",4.9,,30.0,,Nội thất đầy đủ,Kiến Hưng,Hà Đông
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/117959292.htm,8.5,151.79,4,5,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,,56.0,,Nội thất cao cấp,Khương Trung,Thanh Xuân
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120643513.htm,10.5,166.4,2,2,3,Đã có sổ,"Nhà ngõ, hẻm",6.7,11.2,63.1,,Nội thất đầy đủ,Ngọc Hà,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120653198.htm,12.8,256.0,3,3,4,Đã có sổ,"Nhà mặt phố, mặt tiền",4.2,,50.0,Tây Nam,Nội thất cao cấp,La Khê,Hà Đông
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120690076.htm#px=SR-special_display_ad-[PO-11][PL-default],6.4,152.38,4,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,42.0,,Nội thất đầy đủ,Ngọc Thụy,Long Biên
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/120690058.htm,14.0,200.0,5,5,6,Đã có sổ,Nhà biệt thự,5.0,,70.0,,Nội thất cao cấp,Thịnh Liệt,Hoàng Mai
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/119959640.htm,27.3,341.25,6,5,7,Đã có sổ,"Nhà mặt phố, mặt tiền",,,80.0,Đông Nam,Nội thất cao cấp,Minh Khai,Hai Bà Trưng
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120624011.htm,8.8,195.56,4,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,45.0,,Nội thất đầy đủ,Nghĩa Đô,Cầu Giấy
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/120689994.htm,6.95,217.19,4,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,32.0,,Nội thất đầy đủ,Hạ Đình,Thanh Xuân
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120689967.htm,10.5,238.64,4,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,44.0,,Nội thất cao cấp,Quang Trung,Hà Đông
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/120689945.htm,9.0,200.0,4,5,5,Đã có sổ,"Nhà ngõ, hẻm",,,45.0,,Nội thất đầy đủ,Nhân Chính,Thanh Xuân
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/120667940.htm#px=SR-special_display_ad-[PO-18][PL-default],7.8,141.82,4,4,4,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,,55.0,,Nội thất cao cấp,Yên Sở,Hoàng Mai
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120436676.htm,3.6,180.0,2,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,20.0,,Nội thất đầy đủ,Khâm Thiên,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120324968.htm,6.8,234.48,3,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,29.0,,Nội thất cao cấp,Cát Linh,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/117384519.htm#px=SR-special_display_ad-[PO-1][PL-default],1.8,150.0,3,3,5,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,,12.0,Đông Bắc,Nội thất đầy đủ,Phương Liên,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120208669.htm,7.78,155.6,5,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,50.0,,Nội thất đầy đủ,Láng Thượng,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120437391.htm,11.5,225.49,3,3,3,Đã có sổ,Nhà phố liền kề,6.4,,51.0,,Nội thất cao cấp,Quang Trung,Hà Đông
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120296707.htm,4.95,260.53,2,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,19.0,,Nội thất cao cấp,Cát Linh,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/117601414.htm,4.5,115.38,3,3,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,,39.0,,Nội thất đầy đủ,Kiến Hưng,Hà Đông
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120689858.htm,26.8,268.0,10,6,7,Đã có sổ,"Nhà ngõ, hẻm",8.0,,100.0,,Nội thất cao cấp,Vĩnh Phúc,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120689853.htm,5.2,148.57,3,2,4,Đã có sổ,"Nhà ngõ, hẻm",4.7,,35.0,,Nội thất đầy đủ,Trương Định,Hai Bà Trưng
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/119547489.htm,4.0,111.11,4,4,5,Đã có sổ,"Nhà mặt phố, mặt tiền",,,36.0,,Nội thất đầy đủ,Thanh Liệt,Thanh Trì
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120012851.htm,7.9,158.0,6,4,5,Đã có sổ,"Nhà ngõ, hẻm",4.2,,50.0,,Nội thất cao cấp,Hà Cầu,Hà Đông
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120312321.htm,25.5,411.29,5,5,5,Đã có sổ,"Nhà ngõ, hẻm",5.0,,62.0,,Nội thất cao cấp,Mai Dịch,Cầu Giấy
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/119380079.htm,13.2,253.85,10,6,6,Đã có sổ,"Nhà ngõ, hẻm",6.0,,52.0,,Nội thất cao cấp,Mỹ Đình 2,Nam Từ Liêm
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/120689803.htm,13.8,212.31,6,6,5,Đã có sổ,"Nhà ngõ, hẻm",4.8,13.5,65.0,,Nội thất cao cấp,Phú Thượng,Tây Hồ
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120565681.htm#px=SR-special_display_ad-[PO-13][PL-default],7.1,112.7,4,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,63.0,,Nội thất đầy đủ,Phúc Lợi,Long Biên
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120667635.htm#px=SR-special_display_ad-[PO-14][PL-default],16.8,240.0,4,3,3,Đã có sổ,"Nhà mặt phố, mặt tiền",5.15,13.5,70.0,Đông Nam,Nội thất đầy đủ,Nguyễn Trãi,Hà Đông
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/120689654.htm#px=SR-special_display_ad-[PO-15][PL-default],5.75,143.75,5,5,6,Đã có sổ,"Nhà ngõ, hẻm",,,40.0,,Nội thất đầy đủ,Khương Đình,Thanh Xuân
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/118948685.htm,6.2,83.78,3,3,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,,74.0,,Hoàn thiện cơ bản,Đại áng,Thanh Trì
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120689578.htm,8.5,220.78,6,6,5,Đã có sổ,"Nhà ngõ, hẻm",3.8,11.0,38.5,,Nội thất cao cấp,Khương Thượng,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120642359.htm,24.5,700.0,4,5,6,Đã có sổ,"Nhà mặt phố, mặt tiền",3.9,,35.0,,Nội thất đầy đủ,Ô Chợ Dừa,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/120689453.htm#px=SR-special_display_ad-[PO-19][PL-default],5.75,159.72,4,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,36.0,,Nội thất đầy đủ,Hạ Đình,Thanh Xuân
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120689403.htm,14.6,486.67,3,3,5,Đã có sổ,"Nhà ngõ, hẻm",3.1,11.0,30.0,,Nội thất cao cấp,Trung Hoà,Cầu Giấy
https://www.nhatot.com/mua-ban-quan-hoang-mai-ha-noi/120689377.htm,6.85,124.55,4,4,4,Đã có sổ,"Nhà ngõ, hẻm",,,55.0,,Nội thất đầy đủ,Tân Mai,Hoàng Mai
https://www.nhatot.com/mua-ban-quan-long-bien-ha-noi/118274905.htm,16.5,217.11,6,6,7,Đã có sổ,"Nhà ngõ, hẻm",4000.0,1900.0,76.0,Tây Nam,Nội thất cao cấp,Long Biên,Long Biên
https://www.nhatot.com/mua-ban-quan-hoang-mai-ha-noi/120291231.htm,5.95,156.58,3,3,5,Đã có sổ,"Nhà ngõ, hẻm",,,38.0,,Nội thất đầy đủ,Vĩnh Hưng,Hoàng Mai
https://www.nhatot.com/mua-ban-quan-hai-ba-trung-ha-noi/120689331.htm,5.2,136.84,3,2,3,Đã có sổ,"Nhà ngõ, hẻm",,,38.0,,Nội thất đầy đủ,Trương Định,Hai Bà Trưng
https://www.nhatot.com/mua-ban-quan-long-bien-ha-noi/120689326.htm#px=SR-special_display_ad-[PO-5][PL-default],7.98,194.63,6,6,5,Đã có sổ,"Nhà ngõ, hẻm",,,41.0,,Nội thất đầy đủ,Bồ Đề,Long Biên
https://www.nhatot.com/mua-ban-quan-nam-tu-liem-ha-noi/120689323.htm#px=SR-special_display_ad-[PO-6][PL-default],4.5,128.57,4,4,5,Đã có sổ,"Nhà ngõ, hẻm",5.0,,35.0,,Nội thất đầy đủ,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-quan-cau-giay-ha-noi/120480324.htm,11.68,333.71,3,4,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,,35.0,,Hoàn thiện cơ bản,Mai Dịch,Cầu Giấy
https://www.nhatot.com/mua-ban-quan-tay-ho-ha-noi/120689295.htm,9.96,249.0,10,6,11,Đã có sổ,"Nhà ngõ, hẻm",,,40.0,,Nội thất đầy đủ,Thụy Khuê,Tây Hồ
https://www.nhatot.com/mua-ban-quan-hoang-mai-ha-noi/120689286.htm,11.0,244.44,6,6,7,Đã có sổ,"Nhà ngõ, hẻm",,,45.0,,Nội thất đầy đủ,Định Công,Hoàng Mai
https://www.nhatot.com/mua-ban-quan-cau-giay-ha-noi/120689268.htm,10.0,238.1,9,9,6,Đã có sổ,"Nhà ngõ, hẻm",,,42.0,,Nội thất cao cấp,Dịch Vọng,Cầu Giấy
https://www.nhatot.com/mua-ban-quan-long-bien-ha-noi/120689221.htm,7.2,180.0,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,40.0,,Nội thất đầy đủ,Bồ Đề,Long Biên
https://www.nhatot.com/mua-ban-quan-dong-da-ha-noi/120689203.htm,65.5,181.94,6,6,3,Đã có sổ,Nhà biệt thự,10.0,36.0,360.0,,Nội thất cao cấp,Láng Thượng,Đống Đa
https://www.nhatot.com/mua-ban-quan-ba-dinh-ha-noi/120642155.htm,11.7,292.5,4,3,2,Đã có sổ,"Nhà ngõ, hẻm",3.3,,40.0,,Nội thất đầy đủ,Điện Biên,Ba Đình
https://www.nhatot.com/mua-ban-quan-ha-dong-ha-noi/119472062.htm,3.3,109.63,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",5.0,6.1,30.1,Đông Bắc,Hoàn thiện cơ bản,Yên Nghĩa,Hà Đông
https://www.nhatot.com/mua-ban-quan-ba-dinh-ha-noi/120688998.htm,7.3,146.0,5,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,50.0,,Nội thất đầy đủ,Liễu Giai,Ba Đình
https://www.nhatot.com/mua-ban-quan-nam-tu-liem-ha-noi/120689101.htm,5.6,112.0,4,4,4,Đang chờ sổ,"Nhà ngõ, hẻm",,,50.0,,Nội thất đầy đủ,Phú Đô,Nam Từ Liêm
https://www.nhatot.com/mua-ban-quan-hai-ba-trung-ha-noi/120689092.htm,5.2,126.83,3,3,3,Đã có sổ,"Nhà ngõ, hẻm",,,41.0,,Nội thất đầy đủ,Trương Định,Hai Bà Trưng
https://www.nhatot.com/mua-ban-quan-hai-ba-trung-ha-noi/114690629.htm,10.6,176.67,6,6,7,Đã có sổ,Nhà phố liền kề,,,60.0,,Nội thất cao cấp,Bạch Đằng,Hai Bà Trưng
https://www.nhatot.com/mua-ban-quan-long-bien-ha-noi/120689059.htm,10.85,217.0,4,4,5,Đã có sổ,"Nhà ngõ, hẻm",4.1,,50.0,,Nội thất đầy đủ,Gia Thụy,Long Biên
https://www.nhatot.com/mua-ban-quan-long-bien-ha-noi/119378158.htm,10.7,169.84,6,6,7,Đã có sổ,"Nhà mặt phố, mặt tiền",,,63.0,,Nội thất đầy đủ,Bồ Đề,Long Biên
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/119730786.htm,6.85,134.31,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,51.0,,Nội thất đầy đủ,Khương Trung,Thanh Xuân
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120688992.htm,6.2,155.0,4,4,5,Đã có sổ,"Nhà ngõ, hẻm",3.6,,40.0,,Nội thất đầy đủ,Thượng Thanh,Long Biên
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120067784.htm,9.0,209.3,3,4,5,Đã có sổ,"Nhà ngõ, hẻm",,,43.0,,Nội thất cao cấp,Văn Quán,Hà Đông
