Link,Giá tổng,Giá/m²,Số phòng ngủ,Số phòng vệ sinh,Giấy tờ pháp lý,Loại hình căn hộ,Diện tích,Hướng cửa chính,Hướng ban công,Tình trạng nội thất,Xã/Phường,Quận/Huyện
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120700277.htm#px=SR-special_display_ad-[PO-23][PL-default],2.95,47.97,2,1,Hợp đồng mua bán,Chung cư,61.5,Tây Bắc,Tây Nam,Nội thất cao cấp,Hàng Bột,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120654576.htm,8.6,215.0,8,6,Sổ hồng riêng,Chung cư mini,40.0,,,Nội thất cao cấp,Bách Khoa,Hai Bà Trưng
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120551779.htm#px=SR-stickyad-[PO-1][PL-top],1.65,33.0,2,1,Sổ hồng riêng,Chung cư,50.0,,,Nội thất cao cấp,Quang Trung,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/120369041.htm#px=SR-stickyad-[PO-2][PL-top],3.28,50.46,2,2,Sổ hồng riêng,Tập thể,65.0,,,Nội thất đầy đủ,Ngọc Khánh,Ba Đình
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120542779.htm#px=SR-stickyad-[PO-3][PL-top],1.86,33.82,2,1,Sổ hồng riêng,Chung cư mini,55.0,,,Hoàn thiện cơ bản,Nhân Chính,Thanh Xuân
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120671736.htm#px=SR-stickyad-[PO-4][PL-top],2.86,42.06,2,1,Sổ hồng riêng,Tập thể,68.0,,,Nội thất đầy đủ,Thanh Xuân Bắc,Thanh Xuân
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120700063.htm,3.99,62.34,2,2,Sổ hồng riêng,Chung cư,64.0,Tây Bắc,,Nội thất cao cấp,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/120699980.htm#px=SR-special_display_ad-[PO-6][PL-default],3.08,42.78,2,2,Sổ hồng riêng,Chung cư,72.0,,,Hoàn thiện cơ bản,Yên Nghĩa,Hà Đông
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/120699946.htm#px=SR-special_display_ad-[PO-7][PL-default],3.08,42.78,2,2,Sổ hồng riêng,Chung cư,72.0,,,Hoàn thiện cơ bản,Yên Nghĩa,Hà Đông
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120699882.htm,3.39,62.78,2,1,Sổ hồng riêng,Chung cư,54.0,Đông Nam,Tây Bắc,Nội thất đầy đủ,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120699861.htm,5.95,63.98,3,2,Sổ hồng riêng,Chung cư,93.0,,,Nội thất đầy đủ,Mỹ Đình 2,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/120699808.htm#px=SR-special_display_ad-[PO-10][PL-default],4.0,53.33,3,2,Sổ hồng riêng,Chung cư,75.0,,,Nội thất đầy đủ,Mộ Lao,Hà Đông
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120699790.htm,0.0057599999999999995,0.164571,2,2,Sổ hồng riêng,Chung cư,35.0,,,Bàn giao thô,Mỹ Đình 2,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120678351.htm#px=SR-special_display_ad-[PO-12][PL-default],3.3,36.67,3,2,Sổ hồng riêng,Tập thể,90.0,,,Hoàn thiện cơ bản,Thanh Xuân Bắc,Thanh Xuân
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/116644638.htm,1.06,25.24,1,1,Hợp đồng mua bán,Chung cư mini,42.0,,Đông Nam,Hoàn thiện cơ bản,Dịch Vọng Hậu,Cầu Giấy
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120677639.htm,3.6,55.38,2,2,Sổ hồng riêng,Chung cư,65.0,Tây,Đông,Nội thất cao cấp,Đại Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120287288.htm,3.86,54.37,3,2,Sổ hồng riêng,Chung cư,71.0,,,Nội thất đầy đủ,Hoàng Văn Thụ,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120277603.htm,15.5,238.46,10,6,Sổ hồng riêng,Chung cư mini,65.0,,,Nội thất đầy đủ,Tương Mai,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120224088.htm,17.6,209.52,10,6,Sổ hồng riêng,Chung cư mini,84.0,,,Nội thất đầy đủ,Thanh Lương,Hai Bà Trưng
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/119092441.htm,6.95,95.21,2,2,Sổ hồng riêng,Chung cư,73.0,,,Nội thất cao cấp,Minh Khai,Hai Bà Trưng
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120698658.htm,3.9,55.71,2,1,Sổ hồng riêng,Tập thể,70.0,,,Nội thất đầy đủ,Hoàng Văn Thụ,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120698586.htm,3.0,88.24,3,2,Sổ hồng riêng,Tập thể,34.0,,,Nội thất đầy đủ,Quan Hoa,Cầu Giấy
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120698573.htm,2.55,91.07,1,1,Sổ hồng riêng,Tập thể,28.0,,,Nội thất cao cấp,Phương Mai,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120698565.htm,2.35,117.5,2,1,Sổ hồng riêng,Tập thể,20.0,,,Nội thất cao cấp,Văn Chương,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120698434.htm#px=SR-special_display_ad-[PO-23][PL-default],4.16,65.0,2,2,Sổ hồng riêng,Chung cư,64.0,Tây Bắc,Đông Bắc,Nội thất đầy đủ,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120698369.htm,2.3,71.88,1,1,Sổ hồng riêng,Chung cư,32.0,,,Nội thất đầy đủ,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120698273.htm,2.199,70.97,1,1,Sổ hồng riêng,Chung cư,31.0,Tây Nam,Đông Bắc,Nội thất đầy đủ,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120548218.htm#px=SR-special_display_ad-[PO-2][PL-default],3.85,70.0,2,1,Sổ hồng riêng,Chung cư,55.0,,Tây Nam,Nội thất cao cấp,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120698002.htm#px=SR-special_display_ad-[PO-3][PL-default],4.89,65.2,3,2,Sổ hồng riêng,Chung cư,75.0,Đông Bắc,Đông Bắc,Nội thất cao cấp,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120697947.htm#px=SR-special_display_ad-[PO-4][PL-default],2.03,78.08,1,1,Hợp đồng mua bán,Chung cư,26.0,Tây Bắc,Tây Bắc,Nội thất đầy đủ,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/119882411.htm,13.5,129.81,3,3,Đang chờ sổ,Chung cư,104.0,,,Nội thất cao cấp,Xuân Đỉnh,Bắc Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120697807.htm,3.55,64.55,2,1,Sổ hồng riêng,Chung cư,55.0,Đông Nam,Tây Bắc,Nội thất đầy đủ,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120697804.htm,3.83,53.19,3,2,Sổ hồng riêng,Chung cư,72.0,,,Nội thất đầy đủ,Tân Mai,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120697680.htm#px=SR-special_display_ad-[PO-8][PL-default],3.52,65.19,2,1,Sổ hồng riêng,Chung cư,54.0,,,Nội thất đầy đủ,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/120651930.htm,2.8,40.0,2,2,Sổ hồng riêng,Chung cư,70.0,Tây Bắc,Đông Nam,Nội thất đầy đủ,Việt Hưng,Long Biên
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120247028.htm,20.0,160.0,10,6,Sổ hồng riêng,Chung cư mini,125.0,,,Nội thất cao cấp,Khương Thượng,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120697444.htm,3.5,38.89,3,3,Sổ hồng riêng,Chung cư,90.0,,,Hoàn thiện cơ bản,Hoàng Văn Thụ,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120697364.htm,3.9,52.7,2,2,Sổ hồng riêng,Tập thể,74.0,,,Nội thất đầy đủ,Hoàng Văn Thụ,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120651553.htm,1.19,28.33,1,1,Hợp đồng mua bán,Tập thể,42.0,,,Nội thất cao cấp,Khương Thượng,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120626089.htm,5.215,62.08,3,3,Sổ hồng riêng,Chung cư,84.0,,Đông Nam,Nội thất cao cấp,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120521208.htm,2.9,38.16,3,2,Hợp đồng mua bán,Chung cư,76.0,Tây,Đông Nam,Nội thất đầy đủ,Hoàng Liệt,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120079567.htm,4.81,57.95,3,2,Sổ hồng riêng,Chung cư,83.0,,,Nội thất đầy đủ,Hoàng Liệt,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/118473361.htm,3.0,42.86,2,2,Hợp đồng mua bán,Chung cư,70.0,Tây Bắc,Đông Nam,Nội thất đầy đủ,Hoàng Liệt,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120696546.htm,4.1,41.0,2,1,Sổ hồng riêng,Tập thể,100.0,,,Hoàn thiện cơ bản,Thượng Đình,Thanh Xuân
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120650749.htm,6.8,54.84,3,2,Sổ hồng riêng,Chung cư,124.0,,,Nội thất cao cấp,Mỹ Đình 1,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120696461.htm#px=SR-special_display_ad-[PO-20][PL-default],2.55,141.67,2,2,Sổ hồng riêng,Tập thể,18.0,,,Nội thất cao cấp,Nghĩa Tân,Cầu Giấy
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120579513.htm,2.45,49.0,2,2,Sổ hồng riêng,Tập thể,50.0,,,Nội thất đầy đủ,Khâm Thiên,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120696270.htm#px=SR-special_display_ad-[PO-2][PL-default],19.68,228.84,10,6,Sổ hồng riêng,Chung cư mini,86.0,,Tây Bắc,Nội thất cao cấp,Nhân Chính,Thanh Xuân
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/120675839.htm#px=SR-special_display_ad-[PO-3][PL-default],16.0,82.9,3,3,Sổ hồng riêng,Chung cư,193.0,,,Nội thất đầy đủ,Thành Công,Ba Đình
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120572475.htm#px=SR-special_display_ad-[PO-4][PL-default],1.38,46.0,1,1,Hợp đồng mua bán,Tập thể,30.0,Nam,Nam,Hoàn thiện cơ bản,Mai Động,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120344411.htm,3.75,54.83,2,1,Sổ hồng riêng,Chung cư,68.39,Đông Nam,Tây Bắc,Nội thất đầy đủ,Yên Hoà,Cầu Giấy
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120695902.htm,4.93,54.78,2,1,Sổ hồng riêng,Chung cư,90.0,,,Nội thất đầy đủ,Nhân Chính,Thanh Xuân
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120695678.htm#px=SR-special_display_ad-[PO-7][PL-default],3.95,60.77,2,2,Sổ hồng riêng,Chung cư,65.0,,,Nội thất đầy đủ,Dịch Vọng,Cầu Giấy
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120556454.htm#px=SR-special_display_ad-[PO-8][PL-default],4.7,44.76,3,2,Sổ hồng riêng,Chung cư,105.0,Tây Bắc,,Nội thất đầy đủ,Trung Văn,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120694986.htm,4.76,52.31,2,2,Sổ hồng riêng,Chung cư,91.0,,,Nội thất đầy đủ,Mỹ Đình 1,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120673634.htm,3.9,43.33,3,2,Sổ hồng riêng,Tập thể,90.0,,,Nội thất đầy đủ,Bạch Đằng,Hai Bà Trưng
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/120694831.htm,5.1,85.0,1,1,Sổ hồng riêng,Tập thể,60.0,,,Nội thất cao cấp,Cống Vị,Ba Đình
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120694473.htm,3.55,64.55,3,2,Sổ hồng riêng,Tập thể,55.0,,,Nội thất cao cấp,Láng Hạ,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120673099.htm#px=SR-special_display_ad-[PO-13][PL-default],4.29,67.03,2,2,Sổ hồng riêng,Chung cư,64.0,,,Nội thất đầy đủ,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/120622791.htm,3.67,67.96,2,2,Sổ hồng riêng,Chung cư,54.0,,,Nội thất đầy đủ,Đa Tốn,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120693119.htm,9.8,56.0,4,2,Sổ hồng riêng,Chung cư,175.0,,,Nội thất cao cấp,Thanh Xuân Trung,Thanh Xuân
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120693065.htm,7.1,56.8,3,3,Sổ hồng riêng,Chung cư,125.0,,,Nội thất cao cấp,Mai Dịch,Cầu Giấy
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120692812.htm,5.5,59.14,3,2,Sổ hồng riêng,Chung cư,93.0,,,Nội thất cao cấp,Mỹ Đình 2,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120663973.htm,8.7,87.0,3,2,Sổ hồng riêng,Chung cư,100.0,Tây Nam,Đông Bắc,Nội thất đầy đủ,Yên Hoà,Cầu Giấy
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/120692457.htm,3.5,61.4,2,2,Sổ hồng riêng,Chung cư,57.0,,,Nội thất đầy đủ,Hoàng Văn Thụ,Hoàng Mai
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120645699.htm#px=SR-special_display_ad-[PO-20][PL-default],1.75,43.75,1,1,Sổ hồng riêng,Tập thể,40.0,,,Nội thất đầy đủ,Quỳnh Mai,Hai Bà Trưng
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120645564.htm#px=SR-special_display_ad-[PO-1][PL-default],3.2,66.67,2,1,Sổ hồng riêng,Chung cư,48.0,,Đông Bắc,Nội thất cao cấp,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-tay-ho-ha-noi/120691556.htm,4.35,54.38,2,2,Sổ hồng riêng,Chung cư,80.0,,,Nội thất đầy đủ,Nhật Tân,Tây Hồ
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120691391.htm,7.1,56.8,3,3,Sổ hồng riêng,Chung cư,125.0,,,Nội thất cao cấp,Mỹ Đình 2,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120691258.htm,4.0,40.0,3,3,Sổ hồng riêng,Chung cư,100.0,,,Hoàn thiện cơ bản,Bách Khoa,Hai Bà Trưng
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120619176.htm,10.8,72.0,4,2,Sổ hồng riêng,Chung cư,150.0,,,Nội thất cao cấp,Láng Hạ,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/120691094.htm,3.85,42.78,3,2,Sổ hồng riêng,Tập thể,90.0,,,Hoàn thiện cơ bản,Ngọc Hà,Ba Đình
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120690419.htm,2.3,100.0,1,1,Hợp đồng mua bán,Tập thể,23.0,,,Bàn giao thô,Quỳnh Mai,Hai Bà Trưng
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120690237.htm,2.85,59.38,1,1,Sổ hồng riêng,Chung cư,48.0,,,Nội thất đầy đủ,Trống,Trống
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/120690206.htm,4.2,60.0,2,2,Sổ hồng riêng,Chung cư,70.0,Bắc,Nam,Nội thất đầy đủ,Đông Ngạc,Bắc Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120605548.htm,1.7,42.5,2,1,Sổ hồng riêng,Chung cư,40.0,,,Nội thất đầy đủ,Quỳnh Mai,Hai Bà Trưng
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120642915.htm#px=SR-special_display_ad-[PO-11][PL-default],2.45,54.44,2,1,Sổ hồng riêng,Tập thể,45.0,,,Nội thất đầy đủ,Văn Chương,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/120111821.htm,9.3,238.46,4,4,Sổ hồng riêng,Chung cư mini,39.0,,,Nội thất đầy đủ,Kiến Hưng,Hà Đông
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/120617382.htm,2.45,40.83,2,1,Sổ hồng riêng,Tập thể,60.0,Đông,,Nội thất cao cấp,Đồng Nhân,Hai Bà Trưng
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120469163.htm#px=SR-special_display_ad-[PO-14][PL-default],7.1,63.39,3,3,Sổ hồng riêng,Chung cư,112.0,Tây Bắc,Đông Nam,Hoàn thiện cơ bản,Trung Văn,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/120642841.htm,4.2,45.06,2,2,Sổ hồng riêng,Chung cư,93.2,,Nam,Nội thất đầy đủ,Quang Trung,Hà Đông
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120689557.htm,4.85,60.62,2,2,Sổ hồng riêng,Chung cư,80.0,,,Nội thất đầy đủ,Mỹ Đình 2,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120642578.htm#px=SR-special_display_ad-[PO-17][PL-default],3.48,38.67,3,2,Sổ hồng riêng,Tập thể,90.0,,,Nội thất đầy đủ,Nam Đồng,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-hoai-duc-ha-noi/120688922.htm,6.8,59.65,2,2,Sổ hồng riêng,Chung cư,114.0,,,Nội thất cao cấp,Kim Chung,Hoài Đức
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/120688762.htm,4.1,75.93,2,1,Sổ hồng riêng,Chung cư,54.0,,,Nội thất cao cấp,Tây Mỗ,Nam Từ Liêm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/118851410.htm#px=SR-special_display_ad-[PO-20][PL-default],3.68,56.62,2,2,Sổ hồng riêng,Chung cư,65.0,Tây Bắc,Đông Nam,Nội thất cao cấp,Tây Mỗ,Nam Từ Liêm
